title,summary
과학은 선악을 다룰 수 있는가,"과연 과학은 선과 악을 다룰 수 있을까? 악에 대한 과학적 이해는 인간의 죄에 대한 관용을 증가시킬 것인가? 과학적 사고들은 어떻게 선을 증진해왔는가? 가치의 문제로 알려진 선과 악의 문제를 과학의 관점에서 고찰한 스켑틱 17호.

낙태 논쟁, 창조론 대 진화론 논쟁 등 끊임없이 이어지는 논쟁에서 과학은 어떤 역할을 할 수 있을까? 음이온 괴담의 실체를 과학적으로 밝힌 이덕환 교수의 ‘음이온 환상에 빠져버린 사회’, 성격을 유형으로 나눌 수 있는가? MBTI의 문제점, 보건의료 자유의 문제점 등 흥미로운 논쟁들로 꾸민 스켑틱 17호."
양자역학의 법칙,"보고 또 봐도 물리를 몰라 고민인 학생들을 위한 가장 쉬운 양자역학의 입문서. 미분, 적분, 벡터, 행렬, 함수 등 수학 공식들이 플랑크, 빈, 아인슈타인, 보어, 하이젠베르크, 보른, 드브로이와 슈뢰딩거 등에 의해 때론 토론하고, 때론 고민하면서 양자학을 설명하는 공식으로 바뀌는 흥미진진한 과정이 양자역학을 공부할 때도 누구나 즐길 수 있도록 한다. 빛은 입자인가 파동인가. 단순한 물음에서 시작되어 고전역학부터 양자역학까지 관통하는 동안 자신도 모르게 양자학의 가장 중요한 기본을 습득하게 한다."
바이오의약품 시대가 온다,"바이오의약품은 한국의 4차 산업혁명을 주도할 새로운 성장 동력으로도 주목받고 있다. 뿐만 아니라 바이오의약품 시장은 이미 전 세계에서 1년에 67조 원 이상의 연구 개발비가 투자되는 거대한 규모의 산업으로 성장했다. 이제는 많은 사람이 바이오의약품을 알아야 할 때가 된 것이다.

이 책은 바이오의약품에는 어떤 종류가 있는지, 왜 지금 바이오의약품에 관심을 가져야 하는지, 바이오의약품 개발과 허가에서 중요한 규제 쟁점은 무엇인지를 누구나 쉽게 이해할 수 있도록 소개한다. 더불어 바이오시밀러에 왜 빛과 그늘이 존재하며, 최근 한국 바이오제약기업이 줄줄이 임상시험에 실패하는지를 통해 한국 바이오산업이 나아갈 지향점을 이야기한다."
과학공화국 수학법정 1,"초등학생과 중학생의 눈높이에 맞춘 '과학공화국 ~법정' 시리즈의 하나로, 기상천외한 법정 공방을 통해 수학적 지식을 쉽게 들려준다. 초등교과 과정에서 발췌한 내용들을 주로 수록한 책은 생활 속에서 수학을 쉽게 적용할 수 있는 길을 가르쳐주고 있으며, 궁극적으로 왜 수학을 공부해야 하는지를 알려준다. 수학의 개념을 딱딱하지 않게 소개하고자 법정을 통한 재판 과정을 도입했다.

1권 이야기. 문제를 푼 학생보다 찍은 학생의 점수가 더 좋게 나온 'OX 문제 사건', 동전의 무게를 속여 납품한 공장을 찾아내는 '불량 주화 사건', 경기 도중 한 팀의 사고로 경기가 중단된 '우승 상금 배당 사건' 등 생활 속에서 벌어지는 사건 사고 속에 숨겨진 수학 법칙을 배운다.

2권 이야기. 중국 사람들이 제일 결혼하고 싶어하는 날은 왜 9월 9일 일까, 셈스 씨는 과연 3,000 원의 엘리베이터 사용료를 내야 할까, 수학 빵점 대장 후한탄 군이 100점 맞은 사연은 뭘까, 아킬레우스는 끝내 거북이를 따라잡을 수 없는 걸까 등 일상에 부딪히게 되는 수학에 대한 궁금증을 말끔히 풀어 주고 있다.

수학의 기초를 탄탄하게 다져 주기 위한 입문서 역할을 했던 1편과 수와 연산의 핵심 개념을 콕콕 짚어 줬던2편에 이은 3권, 도형편은 일상 곳곳에서 마주하게 되는 다양한 도형을 소재로 하여 도형의 원리를 이해하고, 활용할 수 있는 능력을 자연스럽게 기를 수 있도록 구성되어 있다.

특히 초등 고학년부터 중등 수학 교과서에 나오는 도형 학습을 위해 필요한 개념 정리를 시작으로 도형의 성질과 대칭, 합동과 닮음, 피타고라스 정리의 활용까지 모든 내용이 정리되어 있다. 또한 입체 도형의 경우, 일상 곳곳에서 발견할 수 있는 다양한 물건을 예로 들어 친근하게 접근하고, 쉽게 적용할 수 있도록 꾸몄다.

우리 일상과 가장 밀접한 관련을 맺고 있는 수학의 분야가 아마도 확률과 통계일 것이다. 5권에서는 경우의 수, 순열, 조합, 확률, 통계를 법정의 재판 과정을 통해 그 기초와 원리부터 충실하고 쉽게 소개하고 있다.

6권에서는 방정식을 처음 접하는 학생들부터, 방정식의 개념을 이해하고 풀이와 응용을 연습하는 친구들까지, 방정식을 한 단계 한 단계 기초부터 응용까지 착실하게 배울 수 있는 책으로, 일차 방정식과 연립 방정식 등을 다룬다.

7권에서는 부등식을 처음 접하는 학생들로부터, 부등식의 기본적인 개념과 풀이, 응용을 하는 학생들까지 부등식의 기본적인 개념과 그 응용을 갈무리할 수 있도록 해놓았다. 또한 다양한 부등식을 소개해 부등식에 대한 '낯설음'을 극복할 수 있도록 하였다.

8권에서는 수열을 처음 접하는 학생들부터, 수열의 기본적인 개념과 풀이, 응용법을 익힐 수 있게끔 다양한 내용들을 알기 쉽게 정리해 놓았다. 0과 1사이의 수개념에 대한 내용부터 무한수열, 무한승비수열과 같은 비교적 난이도 높은 수열까지 단계별로 배울 수 있다.

9권에서는 주사위, 목걸이, 계단, 도로, 기찻길, 식탁 등의 사물들은 우리 주위에서 흔히 볼 수 있는 사물들을 활용한 각양각생의 퍼즐들이 등장한다. 복잡한 기호와 수식보다는 실제 생활의 예시들을 통해서 수학에 대한 기초적인 지식을 쌓고 수학이 친근하게 느껴지도록 한다.

10권에서는 집합과 명제, 논리와 관련된 여러 가지 사건이 일어난다. 벤다이그램과 조건제시법을 통해 합집합과 차집합, 공집합 등을 나타내는 방법을 알려주고, 명제의 참· 거짓 판별법과 명제의 부정, 삼단 논법을 비롯 이중 부정과 비둘기집의 논리에 관해 학습한다."
공간이 사람을 움직인다,"별빛 찬란한 밤하늘에 압도되거나 고대 유적 또는 성 베드로 대성당 한가운데서 경외감에 사로잡히는 찰나, 사람들이 빽빽이 들어찬 방 안에서 공황상태에 빠지는 순간, 공원을 산책하며 마음을 진정시키는 시간이나 카지노와 쇼핑몰에서 유혹에 (기꺼이) 넘어갈 때에도, 변치 않는 한 가지가 있다. 바로 우리를 둘러싼 환경이 우리의 생각과 감정, 신체 반응에 강력하게 영향을 끼치고 있다는 것.

인간이 건축을 통해 현실공간과 가상공간을 어떻게 만들었으며, 그 두 공간은 또한 우리를 어떻게 움직이는지를 인간의 다양한 정서를 중심축으로 삼아 흥미진진하게 설명하는 책이다. 저자인 콜린 엘러드는 워털루대학교의 인지신경과학자이자 신경건축가, 도시현실연구소 소장으로서 자신의 개인사와 대중의 관심사, 그리고 전문적인 지식을 재치 있게 엮어낸다. 그는 '신경건축학'이라는 자신의 연구 분야를 '심리지리학'라고도 부른다.

콜린 엘러드는 자신을 비롯해 여러 신경과학자, 건축학자들이 새로운 기술에서 얻은 통찰을 책 속에 풍성하게 담아낸다. 쌍둥이도 세대 차이가 난다고 할 정도로 모든 것이 빠르게 변화하는 오늘날, 익숙한 인식의 한계를 뛰어넘는 신기술들이 나날이 등장하여 어떠한 영향을 끼칠지 다양한 각도에서 평가하는 한편, 우리가 살고 있고 살아야 하고 만들어가야 할 세계는 어떤 세계인지 묻고 있다."
식별이 쉬운 나무도감,"국내 최고의 산림생물종 연구기관 국립수목원에서 만들고 강화된 검색표와 도해로 총 610종의 수목을 알기 쉽게 정리한 나무도감. 우리나라 산림에서 살아가는 다양한 생물들을 조사, 분류하고 이를 많은 사람들에게 널리 알릴 수 있도록 도감발간 사업을 추진해 오던 국립수목원이 우리나라에 분포하는 약 1,200여 종의 나무 가운데 우리 주변에 자주 볼 수 있는 나무 610여 종을 골라 검색표로 쉽게 구별할 수 있는 나무도감을 만들었다."
아름답고 슬픈 야생동물 이야기,"자신을 스스로 '검은 늑대(black wolf)'로 불렀던 자연주의자이자 화가인, 또 동시에 이야기꾼인 시튼의 첫 작품 'Wild Animals I Have Known'(1898)의 완역본이다. 어린이 도서로 번역된 책들에 비해 아주 충실하게 옮겨진 책이다. 커럼포를 지배한 늑대왕 로보의 가슴 아픈 사랑이야기부터 달리기의 명수, 용감한 갈래귀 토끼 이야기, 검정 야생마의 삶과 죽음 등 모두 8편의 이야기가 실려있다.

시튼은 서문에서 이 책에 실린 이야기들이 모두 실화라고 했다. 물론 양치기개 울리같이 두 마리의 개의 삶을 혼합시켜 새로 창조한 부분도 있지만, 실화에 바탕으로 두고 있기에 이야기의 울림이 보다 구체적이고 자세하다. 또한 비극적이다.

이 책을 통해 동물들의 사고방식과 습관, 그리고 그들을 대하는 인간들의 태도에서 과연 누가 우월한가를 따지던 기존의 생각들은 여지없이 깨지고 생명에 대한 경외의 눈을 가지게 될 것이다. 그래서인지 어릴 적 이 책을 보았던 사람들은 어른이 되어 다시 이 책을 꼭 찾는다고 한다."
디지털 신호 처리,"전기전자/정보통신 관련 학과 학생들을 대상으로, 광범위한 디지털 신호 처리의 내용을 엄선하여 다룬다. 먼저, 이산 신호와 시스템의 기본 개념을 다지고, 시간 영역 해석과 주파수 영역 해석을 살펴본 후 디지털 필터 설계를 배운다. 장마다 [도입글]과 [학습포인트]를 제시하여 왜 배우는지, 무엇을 배우는지를 알 수 있게 하였고, [MATLAB 실습]으로 본문에서 배운 이론을 어떻게 다룰 수 있는지 살펴볼 수 있게 하였다. 더불어 학습 효과를 높이기 위해 [MATLAB 사용법]과 [심화학습 자료]를 온라인으로 제공한다."
통제 불능,"테크 칼럼니스트 케빈 켈리의 인간과 기계에 대한 독보적인 통찰과 미래 예측. 기술적인 시스템이 자연의 계를 모방하기 시작하는 양상을 분석함으로써 미래 세계가 생물학적인 논리에 의해 굴러갈 것임을 예언한다. 바르셀로나에 있는 가우디의 미래 지향적 건축물부터 컴퓨터화 된 스마트 주택, 다윈의 진화론에 도전하는 컴퓨터 시뮬레이션에 이르기까지, 기계와 생물학의 온갖 영역을 종횡무진하며 독자들에게 충격과 즐거움을 안긴다.

저자는 스튜어트 카우프만, 크리스토퍼 랭턴, 로드니 브룩스 등 쟁쟁한 복잡성 이론가들의 통찰을 소개하며, 복잡 적응계가 보여주는 자기 조직화 능력을 설명하고, 경제, 생태계, 인간 문화 같은 비비시스템은 어떤 곳에서도 제어하기가 어렵다는 결론을 내린다. 그리고 인공 시스템들이 자신의 복잡성을 극복하는 데 이용하는 아홉 가지의 가장 분명하고 대표적인 원리를 나열하고, 다가오는 문화가 지닌 강한 생물학적 특성 5가지를 밝힌다

20세기가 끝나가는 1994년에 21세기의 핵심 연구 주제가 될 만한 것들을 모조리 살펴보고 있다. 매력적인 인물들과 기계와 생물의 상호작용에 관한 획기적인 통찰로 가득한 이 책은 수많은 생각거리를 던져주며 다가올 미래 기술에 대한 설득력 있는 예고편 역할을 할 것이다."
성산 장기려,"성산(聖山) 장기려 박사(1909~1995). 한평생 사랑과 자애를 실천하며 살았던 그분 말고는 '한국의 슈바이처'라 불릴 사람이 없다. 평북 용천에서 태어나 김일성의대 외과과장까지 지냈던 그는, 한국전쟁때 가족과 헤어져 둘째아들만 간신히 데리고 월남했다. 그뒤 부산에서 복음병원을 하며 가난한 자들을 위해 의술을 펼쳤다.

이 책은 경향신문 기자인 저자가 장기려 박사 주변사람의 회고와 자료를 모아 엮은 전기다. 돈없는 환자들에게 제 호주머니를 털어주고 그래도 모자라면 밤중에 몰래 뒷문을 열어 가게 해줬던 일화, 춘원 이광수의 <사랑>의 모델이 됐던 사연, 79년 막사이사이상을 수상한 얘기, 그의 사랑의 원천이었던 종교생활 등이 담겨있다.

그는 또 북에 두고 온 아내를 지극으로 생각하며 평생 혼자 지낸 것으로도 유명했다. 남북관계가 부드러워지고 있던 한 때, 한 일간신문에 절절한 '부인에게 보내는 편지'를 싣기도 했다. 이번 남북 이산가족 상봉 때 북으로 가는 의료진으로 참석해 어머니를 만나고 온 장가용 서울의대 교수가 바로 그와 함께 월남했던 차남이다."
