title,summary
달로 가는 길,"달 착륙 50주년 기념, 지구와 달과 인간에 관한 가장 ‘우주적인’ 에세이. 아폴로 11호의 달 착륙에 대해 우리는 닐 암스트롱, 버즈 올드린의 이름을 먼저 떠올리지만 거기에는 또 한 명의 우주인이 있었다. 달 궤도를 돌며 사령선을 지키고 그들을 회수한 마이클 콜린스이다. 『달로 가는 길』은 달에 가기까지 그가 걸어온 극적인 순간들을 아름답고 유머러스한 문장으로 이야기한다.

이 책에는 우주비행사로 선발된 수십 명의 인물들, 험난한 훈련과 우주선 테스트 과정, 머큐리-제미니-아폴로로 이어지는 미국 NASA 우주프로그램의 세부내용들, 그리고 달 착륙까지의 여정이 남김없이 재현된다. 우주에 관한 갖가지 과학적, 공학적 지식과 더불어 시간과 공간, 지구와 인간 존재에 대해 한 우주인이 얻은 깊은 사색의 결과가 담겨있다."
오늘은 빨간 열매를 주웠습니다,"‘자연관찰 드로잉’의 세계로 들어서려는 사람들에게 최적의 조언과 멋진 대리 경험을 선사할 책이다. 책에는 만화가이자 숲해설가인 저자가 10여 년간 주변의 자연을 관찰하며 직접 그린 손 그림 500여 점이 실려 있다. 자연관찰도 드로잉도 처음인 독자를 위해 책이 집중한 주제는 ‘자연물 주워서 그리기’이다. 저자는 사계절 내내 사람들 발끝에 차이는 모든 종류의 자연물을 주워서―그림을 그리고―관찰한 것을―메모한다.

색깔도 모양도 다양한 낙엽들, 길에 떨어진 열매, 수상하게 생긴 씨앗, 비바람에 다 피지 못하고 떨어진 꽃, 그밖에 다양한 생물이 남겨놓은 흔적들이 섬세한 관찰 기록과 함께 책 속에 가득 펼쳐져 있다. 저자의 생생한 자연 그림들과 함께 ‘자연관찰’, 그리고 ‘그리기’를 잘하기 위한 조언도 충분히 담겼다. 독자는 그저 저자의 멋진 그림일기장을 펼쳐보는 것만으로도, 도시의 다양한 풍경들 속에서 자연의 아름다움과 변화를 알아채고 더 깊숙이 이해하는 방법을 터득하게 된다."
한국의 조경수 2,"우리나라에서 자주 볼 수 있는 251종의 조경수를 나무의 생태, 조경적 가치와 기능에 따라 28개의 카테고리로 분류하였다. 그리고 각 수종마다 나뭇잎, 열매, 겨울눈, 수피, 뿌리 등의 사진을 실어 나무에 대한 이해를 높였다. 또 ‘조경수 이야기’, ‘조경 포인트’, ‘재배 포인트’, ‘병충해 포인트’, ‘전정 포인트’, ‘번식 포인트’ 항목을 두어 누구나 쉽게 조경수를 즐기고 재배할 수 있게 하였다.

특히 ‘조경수 이야기’에서는 조경수가 단순한 나무가 아니라, 오랜 역사와 문화를 가진 문화재라는 측면에서 재미있는 이야기로 풀어나갔다. 나무가 혹은 조경수가 생물학적 측면에서뿐 아니라 이처럼 재미있게 이야기로도 접근이 가능하다는 것을 보여주기 위해서 노력하였다. 또한 조경수의 조경적 측면에서 관상 포인트와 활용 가치, 조경수를 재배하는데 있어서 실질적인 도움이 될 수 있는 내용으로 구성하였다."
분석화학 (Gray D. Christian),"이번 7판에는 현재 분석 현장에서 사용되고 있는 “현재의 기구, 현재의 기술”을 다루고 있다. 또 불확정도와 표준 편차의 의미를 강조하고, 엑셀과 같은 스프레드시트 프로그램을 이용하여 t-시험과 같은 통계적 처리법도 다루고 있다."
세밀화로 보는 한국의 야생화,"한국 야생화의 생태와 성장 과정, 약과 먹거리 혹은 관상용으로의 이용법, 그리고 가정에서의 재배법까지 식물원예학의 권위자 윤경은 교수가 집대성한 야생화의 모든 것. 한국식물화가협회 회원들과 함께 실사보다 정밀하고, 회화보다 아름답게 다각도의 시선과 예술적 감각으로 살아있는 야생화의 세계를 그려냈다.

사진기가 표현하지 못하는 부분까지 그려낸 세밀화를 통해 무심히 보고 지나치던 풀꽃과 잎에서 가장 순수한 아름다움을 발견할 수 있다. 봄, 여름, 가을, 산과 들에 나는 흔한 나물부터 이 땅에서 자생한 희귀 약초까지 꽃의 형태와 색채를 고스란히 담아낸 100컷의 세밀화를 만날 수 있다.

▶ 김영사 '가을에 피는 야생화展' 보러가기"
아주 사소한 것까지 알려주는 내 몸 상식사전,"전 세계 베스트셀러 <남자는 왜 젖꼭지가 있을까?> 제2탄. <아주 사소한 것까지 알려주는 내 몸 상식사전>에서는 음식, 산부인과, 생활, 성장통 등 인간의 몸과 관련된 모든 것, 우리가 상식으로 알고 있는 것들의 예외에 대한 재치 있고 재미있는 답변들이 기다리고 있다.

자전거를 너무 오래 타면 발기기능장애가 일어날까? 피어싱을 한 젖꼭지로도 수유를 할 수 있을까? 왜 내 젖가슴은 한쪽은 더 빨리 자랄까? 우유를 마시면 정말 키가 커질까? 등 때로는 진지하고 때로는 배꼽 빠지게 웃게 만드는 질문과 답변들이 책 속에 수록되어 있다."
동물행동학,"동물행동학은 동물의 다양한 행동 유형과 특성을 연구하는 학문이다. 이 책은 콘래드 로렌츠로부터 비롯된 현대 동물행동학의 개념과 그 내용을 다양한 사례를 가지고 쉽게 서술했다.

동물의 개체유지 행동, 사회 행동, 선천적 행동, 학습 행동, 조정 행동, 공격 행동, 이상 행동 등을 살펴봄으로써 동물의 사회가 우리와 얼마나 닮았는지를 보여준다. 그리고 이를 통해 동물의 생명을 위협하고 살 곳을 파괴하는 인간의 행동을 반성하며 동물과 인간의 공존 가능성을 점검한다. 또한 우리가 잘못 알고 있던 동물들에 대한 잘못된 상식들을 교정하기도 한다."
수소 혁명의 시대,"미래의 새로운 대체 에너지로서 각광받고 있는 수소 에너지. 화석 연료의 남용으로 인한 환경의 역습과 수소 에너지의 효용성, 다양한 분야의 쓰임새와 각국의 연구 실정 등 수소가 가져다 줄 혁명의 시대를 소개한 책이다.

수소는 물이나 값싼 유기물로부터 생성되는 지구상에서 가장 가벼운 가스이며, 에너지로 사용된 후 약간의 물만 발생될 뿐, 공해 물질이 생성되지 않고, 에너지 밀도는 가솔린보다 약 3배나 높은 이로운 점이 있다. 책은 수소 에너지는 자원의 빈부를 떠나서 기술 개발에 얼마를 투자하느냐에 의해 에너지 부유국으로 선진국 대열에 설 수도 있고, 또한 그 반대의 경우도 될 수 있다며 중요성을 역설한다."
유전자 인류학,"이 책은 살아있는 사람들의 유전자 특징을 연구하여 인류 역사의 수수께끼를 풀어보려는 노력에서 씌어졌다. 이름하여 생물학적 인류학. 국내에서 이 분야를 본격적으로 소개하기는 이 책이 처음이다. 생물학적 인류학은 인류의 진화와 생물학적 다양성을 과거와 현재에 걸쳐 연구하는 학문이다.

이 책에서 다루는 주요 쟁점은 다음과 같다.
- 네안데르탈인에게 무슨 일이 일어났을까? (2만 8,000~15만 년 전)
- 최초의 아메리카인은 어디에서 왔을까? (1만 5,000년~2만 년 전)
- 유럽에 농경문화가 어떻게 전파되었을까? (6,000년~1만 년 전)
- 아프리카 출신 미국인의 유전자 뿌리는 어디일까? (400년 전)

인류와 비슷한 존재가 나타나기 시작한 수백만 년 전의 시점에서 출발해 가까운 과거에 이르기까지 연대기적 방식으로 구성되었다. 이를 통해서 인류의 과거를 알고, 단서가 될 만한 어떤 시기, 혹은 중요한 사건을 이해할 수 있을 것이다."
네번째 불연속,"인류의 역사에는 몇 번의 '불연속'이 있었다. 아니, '불연속을 제거하려는 시도'가 있었다. 그 첫번째 사건은 코페르니쿠스가 지구는 우주의 중심이 아니라고 밝힌 것이고, 두 번째는 찰스 다윈이 인간은 동물의 후손일 뿐이라고 주장한 것이며, 세 번째는 프로이트가 육체의 주인이 이성임을 부정하고 무의식의 존재를 밝힌 것이다.

이러한 일련의 사건들을 지칭하는 언어에 혼동을 일으킨 이유는, 혹자는 이러한 사건들을 '충격'이고, '단절'이라고 부르는가 하면, 혹자는 '불연속의 제거'일 뿐이라고 말하기 때문이다. 이 책의 저자인 브루스 매즐리시는 후자의 입장에서 즉, 인류의 역사는 인간이 자연과 동떨어진 '불연속'적인 존재에서 자연에 포함되는 연속적인 존재임을 입증해가는 과정이라는 전제에서 논지를 펼친다.

그는 이제 '네번째 불연속'을 제거하고 또 하나의 연속성을 창조하려 한다. 그가 이 책을 통해 연결시키고자 하는 것은 바로 인간과 기계이다. 그는 우리 시대에 존재하는 인간과 기계, 자연과 기계와의 이분법적 구도를 깨뜨리고 기계 또한 인간 진화(자연 진화)의 일부분임을 보인다.

진화론은 인간의 동물적 본성을 밝히는 것 뿐만 아니라, 이 책의 주제인 '인간의 기계적 본성'을 밝히는 데에도 유용한 관점을 제공한다. 인간은 오랜 옛날부터 도구와 물리적, 정신적, 감정적 교류를 하면서 진화를 거듭해 왔으며, 기계 역시 마찬가지이다. 물론 여기에는 다윈이 말한 '자연 선택'보다는 '인위적인 선택'이 많이 개입되어 있다.

저자는 17세기 쟁점이었던 '동물-기계' 문제(영혼을 가지고 있는 인간을 제외한 모든 동물은 기계일 뿐이다)로부터 출발하여 인류사에 등장했던 광범위한 자동인형(현대 로봇의 전단계)에 관한 분석, 인간의 생물학적 진화, 인간 본성의 동물적 근원을 탐구한 프로이트와 파블로브 등 신의 창조물인 인간이 동물로 환원되고, 또다시 기계와 만나는 접점을 찾아간다.

3부에서는 '동물의 기계화'를 위한 인간 노력의 절정이라 할 수 있는 유전자 혁명과, '기계의 인간화'를 위한 인간 노력의 절정인 컴퓨터와 인공지능 문제를 다룬다. 마지막으로는 점증하는 기계화의 추세에서 '넓은 의미'의 진화가 어떠한 방향으로 갈 것인지에 대한 문제를 진지하게 모색하고 있다."
