title,summary
개념 + 유형 수학 2 : 유형.개념편 합본 (해설별매),"수학의 개념과 유형을 학습하는 수학 기본서로 소주제별로 내용을 분해하여 구성하여 각 개념에 대한 확실한 공부가 될 것이다. 개념 학습서인 “개념편”과 개념 학습 후에 유형 학습을 할 수 있는 “유형편”으로 구성되어 있고, 거의 모든 문제에 자세한 해설을 싣도록 하였다."
EBS 올림포스 전국연합학력평가 기출문제집 독서 (2021년),"기출로 개념 잡고 내신 잡자! 신개념 개념+기출 기본서 <올림포스 전국연합학력평가 기출문제집>. 올림포스의 완벽한 개념과 검증된 전국연합학력평가의 문항이 만났다. 대표 기출 유형 수록부터 꼼꼼한 경향 분석, 상세한 해설, 풀이까지 제공한다."
씨리얼 수능기출 수학영역 수학 2 (2020년),"수험생이라면 반드시 공부해야 할 최근 16개년 수능/평가원 단원별 기출, 역대 수능/평가원/교육청 우수 기출을 탑재하였다. 실전 감각을 익히기 위한 실전모의고사를 수록하였고, 전문 출제진이 심혈을 기울여 집필하고 해설 검증단이 꼼꼼하게 검토한 끝장해설을 제공한다."
2020 수능대비 마더텅 수능기출문제집 화학 1 (2019년),"총 919문항을 단원별로 나누어 수록하였다. 최신 6개년 학력평가, 모의평가, 수능에 출제된 문항 중에서 체감난도가 높은 고난도 30문항의 자세한 해설이 수록되어 있다. 현직 교사의 감수로 수능 고득점을 위해 꼭 풀어봐야 하는 문항을 선별하여 부록을 구성하였다."
Reading Expert 5,"중.고등학생을 대상으로 한 5단계 구성의 원서 독해 교재. 단계별 학습을 통해 점진적으로 독해기술, 배경지식, 문장 구조, 어휘 등의 지식을 확장시킬 수 있으며, 이를 통해 독해 실력을 향상시킬 수 있다."
홀로 공부하는 수능 국어 기출 분석 현대시 (2018년),"8개년 평가원 출제 전 지문 수록! 지문 접근법과 문제 풀이법을 상세하고 친절하게 안내한다. 평가원 시험에 어떤 특징을 가진 현대시가 출제되었는지 분석하여 한눈에 볼 수 있도록 정리했으며, 현대시를 ‘쉬운 시’와 ‘어려운 시’로 나누어 실전적으로 읽는 법을 소개하고, ‘기출 분석 훈련’을 통해 다양한 작품을 직접 분석해 볼 수 있도록 했다. 또한 고난도 문제에 대한 명쾌하고 자세한 해설을 제공한다."
100% 실전대비 MP3 고교영어듣기 24회 모의고사 1학년 (2019년),"최신 기출문제 유형을 완벽 재현하여, 총 24회, 480문제로 고교 내신 영어를 완벽 대비한다. 수능 듣기에 나오는 모든 유형 대비가 가능하고, 만점을 위한 고난도 문제를 수록하였다. 영국 성우 녹음이 포함되어 미국식, 영국식 영어 발음을 동시에 학습할 수 있으며, 실제 시험과 동일한 속도, 1.1배, 1.25배, 1.5배 빠른 속도의 4가지 MP3 파일을 제공한다."
현자의 돌 생활과 윤리 킬러적중 EBS수능특강 변형 문제집 (2018년),"한 손으로 들고 공부할 수 있는 소형 사이즈로 언제 어디에서나 자투리 시간 최대한 활용 가능하다. 내신 스타일 문항이 아닌, 최신 수능과 평가원 기출 트렌드를 반영한 수능형 문제로 수특 연계 대비가 가능하다. 또한, 수능 특강 개념 설명, 제시문, 선지들 중 꼭 봐야 할 심화&신유형을 선별하여 압축 총정리하였고, 1등급 달성 및 유지를 위해 꼭 읽어야 할 내용만 킬러 문항을 적중하기 위한 심화 개념을 총정리했다."
아샘 Hi High 고등 수학 (상) (2020년용),"개념기본서 '수학의 샘', 문제기본서 'Hi Math'에서 공부한 개념과 문제들로 쌓은 실력으로 보다 수준 높은 문제 연습을 할 수 있는 교재이다. 단원의 구성과 순서가 동일하여 '수학의 샘', 'Hi Math'와 연계하여 공부할 수 있다. 난이도 있는 문제들을 풀면서 수학 실력을 향상시키기를 원하는 학생들을 위한 교재로, 학교 시험에 잘 나오는 문제들을 시작으로 하여 깊이 있는 유형 문제 연습을 거쳐 최고 수준의 심화 문제 연습도 가능하다.

교재의 구성은 [쌤이 꼭 내는 기본 문제]+[유형 문제]+[1등급 문제]+[최고난도 문제]다. 특히, [1등급 문제]와 [최고난도 문제] 코너에서는 높은 수학적 사고력을 요하는 문제들을 충분히 연습할 수 있다. 학교 시험 및 모의고사 등에 출제되는 고난도 문제 유형들을 분석하고 분류하여 수록하였고, 상위권 변별력 문제를 충분히 실어 깊이 있는 내신 고득점 및 모의고사 문제까지 완벽하게 대비할 수 있도록 하였다."
씨뮬 전국연합 3년간 모의고사 고3 영어,"놓치면 안 되는 최신 실전 문제를 수록하여, 가장 확실한 기출문제 학습 효과를 내준다. 자세하고 명쾌한 해설과 빠른 정답을 수록하였고, 실제 데이터를 토대로 등급컷, 표준점수, 백분위 등을 제공한다."
