title,summary
신사고 쎈 수학 기하와 벡터,"쉬운 문제에서부터 어려운 문제까지 순서대로 도전하는 것이 합리적인 수학 학습법이다. 쎈 수학은 모든 문제를 3단계로 나누어 수준별로 구성하고, 유형 뽀개기에서는 이를 다시 하, 중, 상의 난이도로 세분하여 체계적으로 수학 실력을 키울 수 있도록 만들었다.

하나의 개념에서 파생되는 문제는 그 유형이 다양하게 나타낸다. 고교 과정에서 다뤄야 하는 모든 문제를 187개 유형으로 분류하고 1050문제로 정리하여 유형별로 충분한 문제 연습이 가능하게 하였고 이를 통해 문제 해결력을 기를 수 있다. 또, 학생 스스로 주도적으로 계획을 세워 취약 유형에 대해 반복학습을 할 수 있도록 각 단원별 B, C단계를 표로 구성한 '쎈 滿滿하게 공부하기'를 제공하였다."
Xistory 자이스토리 전국연합학력평가 고2 영어 (2020년),최신 3개년 학력평가 기출 모의고사로 준비하는 절대평가 수능 영어 1등급.
실력 수학의 정석 수학 (상),"개정교육과정에 맞춰 고등학교 <수학> 교과서 내용을 학습할 수 있게 구성한 수학 기본서이다. 학생들의 논리적인 사고력을 기를 수 있도록 구성하였으며, 기초가 없어 수학 과목의 부담을 느끼는 학생들에게 수학의 기본을 튼튼히 해줌으로써 쉽고도 재미있게 수학을 학습할 수 있도록 도와준다."
수능 잡는 중학수학,"“수능 잡는 중학수학”은 수능 대비에 꼭 필요한 중학수학과 고1 수학의 개념을 담은 수능 대비 중학수학 필수 개념 교재이다.

중학수학의 도형과 고1 수학의 개념을 이용한 문제는 매년 수능에 출제되지만 수능의 모든 과목을 학습하는 수험생이 시간을 쪼개어 대비하기란 쉬운 일이 아니다. 이 책은 최근 10년간의 수능, 평가원, 교육청 모의고사를 분석하여 자주 출제되는 40개의 필수 개념을 선정하고 이를 5개의 챕터로 구성하여 효율적인 학습이 되도록 하였다.

하루 한 시간, 5일 학습으로, 수능 준비에 바쁜 수험생도 쉽고 빠르게 학습할 수 있으며, 중학수학 필수 개념이 적용된 수능 출제 범위의 테스트 문제를 통해 실전 감각을 기를 수 있다. 기초가 부족해 수능 준비에 어려움을 겪는 학생들에게 등급 상승의 길을 보여주는 최고의 학습서가 될 것이다."
Xistory 자이스토리 지구과학 1 (2020년),"새교육과정 교과서를 분석하여 개념을 총정리 하고 기출 문제와 예상 문제를 수록하여 2021학년도 수능에 꼭 맞는 기출 문제집이다. 새교육과정 교과서의 개념 순서와 문제 유형에 따라 문제를 배열해 기출 분석 효과를 더욱 높였다. 최신 수능과 6월, 9월 모평 기출 문제를 분석하여 어떻게 출제되었는지 구체적으로 알려주고, 출제 경향에 맞춰 학습할 수 있도록 했다.

실제 수능 선택지와 자료로 개념 확인 문제를 구성하여 개념을 정확히 이해하고 암기하는데 효과적이다. 고난도 문제를 세분화해서 고난도 수능에 대한 적응 능력을 기를 수 있게 하였고, 수능 대비를 위한 최종 실력 점검 기출 모의고사 3회분, 고난도 기출 리뷰 모의고사 3회분을 제공한다."
능률 VOCA 고교 필수편,"능률 voca 시리즈가 2014 신수능 어휘까지 잡는 결정적 시리즈로 재탄생하여 <어원편>, <숙어편>, <고교 필수편>, <수능 실전편>으로 새롭게 개편되었다. 이 책은 내신 및 수능 어휘 함께 대비하며, 과학적인 암기 비법을 제공하는 고교 어휘 종합서이다."
Word Master Xtract 수능,"2006 수능 포함, 13년간 출제된 14회의 대수능 및 18회의 교과평 기출 어휘, 7차 영어 교과서 18종에 나오는 모든 어휘를 DB화하여 중요도, 빈출순으로 2,000 어휘를 수록했다. 또한 언제 어디서나 학습할 수 있는 다양한 버전의 mp3 및 개별맞춤 온라인 학습 지원 시스템을 워드 마스터 사이트에서 제공한다."
1등급 어휘력,"총 4,412개의 막대한 어휘를 수록하였다. 총 4,412개의 어휘를 의미와 관계에 따라 체계적·입체적으로 분류하였다. 1.027개의 문제와 2,628개의 예문을 통해 어휘를 완전히 이해하도록 했다. 문제 바로 뒷장에 정답과 해설을 수록하여 효율적으로 구성하였다. 내신국어 1등급과 수능언어 1등급을 노리는 고등학생과 대입수험생 , 구술,면접,논술에서 우수한 평가를 받고 싶은 수험생, KBS 한국어 능력시험 등 기타 한국어능력 인증시험을 준비하는 이들에게 적합하다."
"예비 매3비, 매일 지문 3개씩 푸는 비문학 독서 기출","<예비 매3비>는 <매3비>의 구성 및 체제를 따르되 '준비편(입문편)'의 성격에 맞게 좋은 문제와 잘 다듬어진 지문이면서 수능 기출 문제보다 쉬운 지문과 문제들로 구성하였다. 그리고 '독해력을 길러 주는 지문 분석'과 '설명 속 어휘 풀이' 및 '복습을 위한 어휘 노트'를 통해 독해력과 어휘력을 기르게 하였다.

특히, 이번 개정판에서는 최근 수능 시험의 출제 경향에 따른 비문학 공부법(신유형 포함)을 한 번 더 분석하여 반영하였고 2017년 3월 9일에 실시한 2017학년도 3월 고1 전국연합학력평가를 추가하여 비문학 실전 훈련을 할 수 있게 하였다. 한편, '클리닉 해설'에는 학생들이 재질문한 내용을 반영한 것은 물론이고 신규 문항 추가에 따른 '복습을 위한 어휘 오답 노트'도 보강하였다."
[세트] EBS 수능특강 문학 + 사용설명서 세트 - 전2권 (2021년),"최신 수능 경향과 기출 유형을 분석한 2022학년도 수능 대비 종합 개념서이다. 교육과정과 최신 수능을 반영한 핵심 내용을 제시하였으며, 수능특강과의 완벽한 시너지, 수능특강 지문과 유사도가 높은 기출문제를 선별하였다. 어휘로 판가름 나는 수능 등급, 수능연계교재의 VOCA 1800·국어 어휘로 연계교재 어휘 학습을 한권으로 완성한다."
