title,summary
풍산자 기하와 벡터 (2019년 고3용),"『풍산자』는 학습자의 눈높이에 맞게 바로 옆에서 궁금해 하는 부분만을 콕콕 짚어 설명해 주는 과외 선생님 같은 수학 개념서이다. 풍산자 특유의 유쾌하고 명쾌한 촌철살인의 비유로 수학을 지루하지 않고 재미있게 공부할 수 있도록 하였으며 풍산자式 비법으로 쉽게 핵심개념을 익히고 문제를 풀 수 있도록 하였다. 또한, 개념을 완성하고 문제 해결력을 기르는 데 필요한 최적의 문항과 문항 수로 구성하여 학습자의 실력이 자연스럽게 쌓일 수 있도록 하였다."
EBS 연계 반전 모의고사 2015 수능실전편 영어 (봉투형),"반전 모의고사 수능실전편은 6월, 9월 모평과 EBS 100% 연계까지 반영한 파이널 봉투 모의고사이다. 실질적으로 도움이 되는 TIP과 실수를 줄이기 위해 유의해야 하는 점을 완벽하게 제시하였다. 또한 문항별 적절한 풀이시간을 모두 수록하여 실전에서 가장 중요한 풀이시간 배분이 가능하도록 하였다.

연계된 EBS 문항 및 지문의 선정 이유를 수능 출제 가능성을 바탕으로 설명하고, 문항의 변형 의도와 문항 유형 등을 자세하게 설명하여 실제 수능에 나올 문항을 예측하고 대비할 수 있도록 하였으며, 정답과 오답의 이유를 각각의 선택지별로 자세하게 설명해준다. 그리고, 출제된 문제에서 다른 형태로 변형되거나 확장되어 출제될 수 있는 유형을 추가로 제시하여, 모의고사 1회 분량 이상의 많은 유형.문제에 대비할 수 있도록 하였다."
메가스터디 어법.어휘 300제 A/B형,"책 한 권으로 기본 개념에서 실전 예상문제까지 다루어 올인원 학습이 될 수 있도록 구성한 교재. 기출 문제를 분석하여 빈출 요소를 한눈에 볼 수 있도록 분류 및 정리하였고, 이를 통해 종합문제, 예상문제, 모의고사를 통해 개념을 적용하여 단계적 학습이 가능하다. 혼동되는 어법 요소는 비교 분석하여 정리해 놓아 보다 폭넓은 어법 지식을 쌓도록 하였고, 몇몇 출제가 예상되는 문제에 대해서는 challenge30을 선정하여 출제 포인트와 보다 자세한 해결 방법을 살펴볼 수 있도록 하였다. 또한 메가스터디 선배들의 학습법 노하우를 담은 동영상을 통해 생생한 학습 정보를 전수받을 수 있다."
2018 수능대비 마더텅 수능기출문제집 윤리와 사상 (2017년),"●마더텅 수능기출문제집 윤리와 사상은 총 711문항을 단원별로 나누어 수록하였습니다.
●2005~2017년도 수능 · 평가원 모의고사 전국연합 학력평가 기출문제 선별 수록
●현직 교사의 감수를 통해 개정 교육과정에 맞는 문항 선별

★수능에 꼭 나오는 단원별, 소주제별 필수 개념 및 암기사항 정리
★대한민국 최초! 전 문항, 모든 선지에 100% 첨삭해설 수록
★2014~2017학년도 4개년 수능 모의평가 12회분 연도별 추가 수록"
신사고 우공비 고등 과학 (2017년용),"다양한 문제 유형으로 충분한 문제 풀이 연습이 되도록 최근 기출문제와 예상문제를 최대한 많이 수록하여 한 권으로 예습, 복습, 시험대비까지 가능한 일석삼조의 기본 학습서이다. 고등과학 교과서를 철저히 분석하여 개념을 한 권에 담았다. 차곡차곡 개념을 쌓고 기본-실력 문제로 실력을 다지는 구성으로 완벽한 개념 이해와 문제 적용 학습을 반복 훈련할 수 있도록 구성했으며 또한 우공비 비법 특강을 통해 시험에 잘 나오는 중요한 개념들을 다시 한번 확실히 점검할 수 있도록 했다. 과학 문제의 이해의 핵심인 자료와 문제의 집중 해설과 비법 학습이 비법 특강을 통해 해결 가능하다.

[우공비 비법특강 강의 동영상 제공] 우공비 비법 특강의 강의 동영상은 교재의 해당 부분의 QR코드를 찍어 확인하시거나 좋은책신사고 모바일 러닝 홈페이지(http://ugb-sci.sinsago.co.kr/h)에서도 확인할 수 있다."
숨마쿰라우데 물리 1 (2019년 고3용),"기초부터 심화까지 쉽고 상세한 설명으로 구성된 책이다. 모든 학생들이 교과 내요을 쉽게 이해할 수 있도록 다양한 코너를 활용하여 설명하고, 수준별 다양한 유형의 문제들을 수록하였다."
고등 셀파 사회.문화,
메가스터디 EBS 분석노트 수능특강 유사.변형 N제 국어영역 비문학 128제 (2019년),"EBS 교재와 연계 출제되는 수능 국어영역의 출제 경향과 출제 원리, 연계 원리를 철저하게 분석 적용하여 개발한 문제집으로, <수능특강 독서>, <수능특강 화법, 작문, 문법>에서 출제 가능성이 높은 제재와 문항을 선별하여 학습하도록 구성한 100% 연계 학습 문제집이다.

EBS 연계 교재의 제재와 문항을 활용하여 수능에서 우수한 성적을 얻도록 하는 것은 물론 학교 현장에서 실시되는 중간 기말고사에도 효율적으로 대비하는 것을 목표로 삼고 있다. EBS 교재의 제재와 문항들이 실제 수능에서 어떻게 변형 출제될 것인지 예상 문제를 통해 풀어 봄으로써 학생 스스로 국어 영역에 대한 실력 향상과 함께 높은 자신감을 느낄 수 있을 것이다."
구문독해 204 1권,"14년간의 시험 기출 통계 자료를 바탕으로 시험에 잘 나오는 핵심 구문 204개를 엄선하고, 엄선된 204개의 구문을 꼭 알아야 할 문법 사항별로 분류하였다. 핵심 구문에 등장한 문법 사항은 Grammar Point에서 별도의 예문과 함께 정리할 수 있으며, 독해와 어법을 한번에 잡을 수 있는 효과적인 학습 구조를 제공한다."
짤강 고등 수학 1 (2021년용),"중하위권 고등학생들의 기초를 잡아줄 수 있는 개념서다. 실수 방지를 위한 오답의 예와 바른 풀이를 수록하였고, 단원 시작 전에 중학교에서 배운 개념을 다시 한 번 체크할 수 있도록 기초개념피드백을 수록하였다. 반복해서 풀어야 하는 유형을 집중 연습 코너에서 연습할 수 있도록 하였다."
