title,summary
식물학자의 노트,"인정받는 신진 식물학자이자, 영국원예협회 국제전시회에서 식물 일러스트로 금메달과 최고전시상, 심사위원 특별상을 수상한 신혜우 작가의 첫 자연 일러스트 에세이. 씨앗부터 기공, 뿌리, 줄기, 꽃, 열매까지 각각의 역할과 의미를 살피는 한편, 연약한 줄기의 애기장대, 물 위에서 사는 개구리밥부터 곰팡이와 공생하는 난초, 5천 년 이상 살고 있다고 추청되는 므두셀라 나무까지, 식물이 자신의 생존을 스스로 지키기 위해 얼마나 치열하고 담대하게 살아가는지를 아름다운 그림과 함께 전한다.

처음 뿌리내린 곳에 반드시 적응하기 위해, 끝까지 살아남아 자신의 종을 퍼뜨리기 위해 한평생을 바치는 식물의 투쟁은 놀랍고 신비롭다. 그 모습은 흡사 우리 인간의 모습을 보는 듯하여 애잔함마저 느끼게 한다. 각자 고유한 생존 방식으로 용감하게 삶을 헤쳐나가는 식물의 모습에서 위로와 지혜를 얻을 뿐만 아니라, 예전에는 무심히 지나치며 눈여겨보지 않았던 솔방울 하나하나까지 소중하고 의미 있게 느껴지도록 만드는 책이다."
코스모스,"칼 세이건의 <코스모스> 특별판이 세이건의 서거 10주기를 기념하여 출간되었다. 이 특별판은 지난 2004년 12월에 출간된 <코스모스>(양장본)의 텍스트 전문과 도판 일부를 사용하고 판형을 휴대하기 쉬운 신국판으로 바꿔 출간한 책으로, 독자들이 좀 더 쉽게 칼 세이건의 메시지를 만날 수 있도록 배려한 책이다.

이번 특별판은 기존의 양장본의 텍스트 전문을 그대로 싣고 도판 중 본문을 이해하는데 꼭 필요한 것들을 골라 실었다. 그중에서도 컬러로 봐야 할 도판 자료들을 60컷 가까이 골라 컬러 화보로 본문 중간중간에 배치해 넣었다.

또 하나 특기할 만한 것은 칼 세이건의 부인인 앤 드루얀이 칼 세이건의 서거 10주기를 맞춰 세이건의 빈자리를 생각하는 아름다운 글을 한국어판 서문으로 실은 것이다. 세이건이 생전에 이루어 놓은 일들과 그가 살아 있었다면 지금 해냈을 일들을 생각하는 이 글을 <코스모스>가 가진 가치를 한층 빛내 주고 있다.

표지 제공 ⓒ (주)사이언스북스"
천문학자는 별을 보지 않는다,"예측할 수 있는 범위를 넘어선 무언가에 대해 말할 때 우리는 '천문학적'이라는 표현을 쓴다. 아름다운 무언가에 대해서는 '별처럼 빛난다'고 말하고, 무언가 간절히 원할 때면 별자리로 운을 점치며 '우주의 기운'이 함께하길 빌기도 한다. 그러나 정작 천문학자에게 천문학이란, 달과 별과 우주란 어떤 의미일까. 할리우드 영화 속 과학자들의 '액션'은 스릴이 넘치고 미항공우주국과 일론 머스크의 우주 탐사 일지는 화려하기 그지없지만 그런 뉴스들이 오히려 천문학을 딴 세상의 이야기로 치부하게 만드는 것은 아닐까.

<천문학자는 별을 보지 않는다> 속 천문학자 심채경이 보여주는 천문학의 세계는 그러한 스펙터클과는 거리가 멀다. 빛과 어둠과 우주의 비밀을 궁금해하는 천문학자도 누구나처럼 골치 아픈 현실의 숙제들을 그날그날 해결해야 한다. 다만 그 비밀을 풀기 위해 '과학적으로' 골몰할 뿐이다. '지구는 돌고 시간은 흐른다'는 우주적이고도 일상적인 진리 안에서 살아가는 천문학자의 이야기는 그러하기에 더욱 새롭고 아름답다."
원소의 이름,"아름답고 우아한 형태로 일곱 줄의 가로줄을 완전히 채운 주기율표 속 원소들. 주기율표 속 118개 원소의 이름들은 어떻게 만들어졌을까? 주기율표는 2016년 11월 현재의 모습으로 ‘완성’되었지만, 원소 하나하나가 발견되고, 지금의 이름으로 불리게 된 사연은 그 수만큼이나 다채롭다. 원소 이름의 시작은 그리스 신화에서, 성경의 한 구절에서, 17세기 문학 속에서, 연금술 책 속에서 발견된다.

케임브리지 대학교에서 화학을 가르치는 저자 피터 워더스는, 화학자를 ‘현대의 연금술사’라 칭한다. 그만큼 화학은 과학의 어떤 분야보다 오래되었을 뿐 아니라, 미신과 과학의 경계에 있었던 학문이다. 이 책에서는 금속에 관한 고대, 중세의 기록들을 파헤쳐나가며 집요하게 원소 이름의 기원을 찾아낸다.

원소명의 어원을 캐는 일, 그리하여 그 원소가 발견된 시대로 되짚어가는 일은, 당시 사람들이 금속의 어떤 특성에 주목했으며, 어떤 일을 하던 사람들이 그 금속과 연관되었는지, 금속이 어떻게 사용되었는지를 찾아나가는 ‘시간 여행’과도 같다. 겉으로는 화학의 역사를 다루는 과학서이지만, 속을 들여다보면 신화, 종교, 기호학, 역사, 고대의 천문학과 광물학까지 아우르는 다양한 지식이 화학 반응을 일으키는 인문 교양서이기도 하다."
이기적 유전자,"세계적 베스트셀러, 과학을 넘어선 우리 시대의 고전, 『이기적 유전자』의 40주년 기념판. 진화론의 새로운 패러다임을 제시한 이 책은 다윈의 ‘적자생존과 자연선택’이라는 개념을 유전자 단위로 끌어내려 진화를 설명한다.

2013년 영국의 정치평론지 『프로스펙트』지가 독자들의 투표로 선정하는 ‘세계 최고의 지성’ 1위에 오른 바 있는 도킨스는 일찍이 촉망받는 젊은 과학자로 간결한 문체와 생생한 비유, 논리적인 전개를 갖춘 글로 능력을 인정받아 왔다. 도킨스는 자신의 동물행동학 연구를 진화의 역사에서 유전자가 차지하는 중심적 역할에 대한 좀 더 넓은 이론적 맥락과 연결시키기 시작했는데, 그 결과가 바로 『이기적 유전자』다.

이번 40주년 기념판에 새롭게 수록된 에필로그에서 도킨스는 여전히 ‘이기적 유전자’라는 개념이 갖고 있는 지속적인 타당성을 이야기하며 이 책이 전하는 메시지를 되새긴다. 새로운 에필로그를 수록하는 것은 물론 새로운 디자인과 휴대하기 좋은 판형으로 갈아입은 40주년 기념판을 통해 독자들은 『이기적 유전자』가 주는 울림을 더욱더 선명하게 느낄 수 있을 것이다."
우주를 이루는 근본 힘들에 대하여,"2021년 4월 7일 미국 국립 가속 연구소인 페르미랩에서 흥미로운 소식이 들려왔다. 기본 입자 중 하나인 뮤온 입자가 표준 모형의 예측과는 다른 움직임을 보인다는 것이 실험을 통해 관측되었다는 소식이었다. 이는 표준 모형에는 존재하지 않는 새로운 입자 혹은 새로운 힘의 가능성을 제시한다.

하지만 이뿐만이 아니다. 표준 모형으로는 해명하지 못한 중력이 남아 있다. 중력은 우주를 보는 우리의 눈으로 우주의 비밀을 밝혀가고 있다. 또한 이미 우리가 잘 알고 있다고 생각한 물질을 이루는 전자기력에도 밝혀내야 할 흥미로운 현상들이 아직 많이 남아 있다. 이번 호 커버스토리에서는 뮤온 g-2 실험, 블랙홀 관측, 1차원 물질 등 우주를 이루는 근본 힘들을 이해하기 위해 분투하는 현대 물리학의 현장을 살펴보고자 한다."
이런 수학은 처음이야 2,"서울대 수학교육과 교수가 전하는 화제의 ‘이런 수학은 처음이야’ 시리즈. ‘자연수 왕국’, ‘소수의 나라’에서 벌어지는 흥미진진한 스토리부터 ‘무리수와 무한’, ‘오일러 수’를 포함한 위대한 수학적 발견까지. 서울대 수학교육과 최영기 교수는 이 책을 통해 이제껏 없던 기발하고 독창적인 스토리로 우리를 ‘수의 세계’로 안내한다.

아이들이 수학을 싫어하게 되는 가장 큰 이유는 단연 ‘연산’이다. 평생 아이들을 위한 ‘진짜 수학교육’을 고민하고 연구해온 최영기 교수는 아이들이 수에 대한 즐거움을 느낄 수 있도록, 나아가 수학 자신감과 흥미를 동시에 끌어올릴 수 있도록 꼭 알아야 할 수학 개념을 특별 엄선해 가장 쉽고 재미있게 ‘수의 원리’를 들려준다. 재미와 감동을 무한히 선사하는 이 책을 통해 수의 원리는 단번에 이해되고, 수학에 대한 무한 자신감이 생기는 놀라운 변화를 경험하게 될 것이다."
자폐의 거의 모든 역사,"2017년 퓰리처 상 논픽션 부문 파이널리스트. 2016년 월스트리트저널 10대 논픽션. 2016년 워싱턴포스트 주목할 만한 논픽션. 뉴욕타임스 베스트셀러 및 편집자의 선택. 자폐증이라는 수수께끼의 역사, 과학, 그리고 깊은 감동의 휴먼드라마.

처음부터 자폐증은 수수께끼였다. 그렇기에 사회와 과학은 많은 실수를 저질렀다. 자폐인은 정상적으로 살아갈 수 없다고 생각했다. 사회에 부담만 주는 쓸모없는 존재로 치부하여 영원히 격리하거나, 심지어 국가권력이 조직적으로 살해했다. ""냉장고 엄마""라는 이론으로 엄마를 비난했다. 자폐인은 교육시킬 수 없다는 선입견에 사로잡혀 공립교육에서 배제했다. 수많은 사이비들이 이윤을 위해, 명성을 위해, 때로는 인도주의적 명분에 취해 자폐인과 가족을 이용하고, 착취하고, 소외시켰다.

지금도 자폐증은 수수께끼다. 그러나 지난 80년간 사회는 자폐인의 살아갈 권리는 물론 교육권을 보장하고, 엄마를 탓하는 문화를 떨쳐냈다. 수많은 이론의 폭력성과 비과학성을 극복하고 자폐성향이 인간 정신에 내재된 특성이며, 인간은 모든 측면에서 '스펙트럼'으로 존재한다는 깨달음을 얻었다. 그리고 마침내 과거 같으면 괴짜나 얼간이 취급을 받았을 자폐인 스스로 자신의 내면을 드러내고, 설명하고, 축복하기에 이르렀다.

이런 변화가 저절로 성취된 것은 아니다. 수많은 사람이 뛰어들어 각자의 몫만큼 역사의 수레바퀴를 굴렸다. 꿈쩍도 않던 수레바퀴가 마침내 진창을 빠져나와 구르기 시작했고, 점점 속도가 붙고 있다. 과학자, 의사, 심리학자, 언어학자, 공학자, 작가, 변호사, 영화제작자, 언론인, 교육자, 기업가, 정치인이 재능과 열정과 시간과 노력과 영향력을 아낌없이 바친 결과다. 그러나 무엇보다 큰 힘을 발휘한 사람, 자폐인을 끔찍한 수용기관에서 해방시켜 ""바다를 보여준"" 사람, 교육받을 권리를 쟁취한 사람, 이 세상에 ""어딘지 다른 사람""이 살아갈 자리를 마련해야 한다고 모두를 설득한 사람은 자폐인과 가족, 그리고 그들의 말에 귀를 기울인 이름 없는 보통 사람들이었다. 이 책은 그들의 피와 땀과 눈물, 희생과 비극과 시행착오, 간절한 염원과 비범한 용기와 지극한 사랑에 관한 이야기다."
엔드 오브 타임,"《엘러건트 유니버스》《우주의 구조》등 수 년 마다 명저를 집필하며, 칼 세이건 이후 최고의 ‘대중 과학 전도사’로 불린 브라이언 그린이 10여 년 만에 새 책을 썼다. 미국 현지에서는 2020년 출간되어 즉각 아마존 과학 분야 1위를 차지하는 등 이미 크게 화제된 바 있다. 미래엔 와이즈베리는 카이스트 출신 과학전문 번역가 박병철 박사에게 의뢰해 장장 1년여에 걸친 고된 번역작업 끝에 한국어판 《엔드 오브 타임》을 출간했다.

《엔드 오브 타임》은 그의 지난 책들과 결이 조금 다르다. 브라이언 그린 특유의 이해하기 쉬운 문장으로 대중을 향해 강의하듯 특정 물리학 이론을 설명하던 과거 저서들과 비교하면, 이번 책은 독백에 가깝다. 물리학자로서 연구와 탐구를 넘어선, 지난 10여 년간의 철학적 성찰이 느껴진다.

물론 책의 모든 문장은 과학적이고 논리적인 사고를 바탕으로 쓰였다. 다만 그 사고의 방향이 어떤 하나의 과학이론만을 향한 게 아니라 우주와 생명, 인간의 정신에 이르기까지 다방면으로 뻗어 있다는 점이 다르다. 그는 인류가 지금껏 설명해내기 위해 시도해온 수많은 과학적 미스터리들이 여전히 풀리지 않은 채 남아 있다는 사실을 정직하게 밝히면서도, 최선을 다해 문제의 중심으로 파고든다."
아무것도 하기 싫은 사람을 위한 뇌 과학,"매일 에너지 넘치는 사람의 동력은 무엇일까? 최고의 뇌 전문의로서 세계 최초로 뇌 영역 트레이닝을 개발한 저자는 그 비밀이 '뇌의 욕구를 만족시키는 것'에 있다고 말한다. 그가 45년간 소아부터 초고령까지 1만 명 이상의 뇌를 MRI를 통해 관찰하고 분석한 결과, 아무것도 하기 싫은 사람과 늘 활력 넘치는 사람은 뇌의 작용이 달랐다.

현대인 대부분은 뇌의 일부만 사용하며 뇌 전체를 골고루 쓰지 못한다. 행동 에너지와 뇌 작용은 긴밀하게 연결되어 반응을 서로 주고받기 때문에, 뇌 기능이 저하되면 사람이 점점 무기력해진다. 이 책은 총 8개 뇌 영역을 단련시켜 건강한 뇌, 젊은 뇌, 의욕적인 뇌를 만드는 방법을 소개한다. 멀리 가지 않아도 되고, 뭔가 대단한 행동을 해야 하는 것도 아니다. 아주 작은 변화만으로도 두뇌 영역을 고루 자극할 수 있고, 애쓰지 않아도 에너지가 생긴다."
