title,summary
수력충전 기하 (2021년),고등 수학 새교육과정이 적용되고 있다. 크고 작은 교육과정이 바뀌는데 수학의 핵심 개념과 흥미를 느낄 수 있도록 한다고 한다. 많은 학생들이 그동안 수학 때문에 많은 어려움이 있었던 것은 사실이다. 쉽게 수학에 접근할 수 있는 교재가 필요하다. 새교육과정에서도 핵심 개념과 원리를 쉽게 익힐 수 있도록 더욱 심혈을 기울여 만든 작품이다.
내신 HIGH-END 하이엔드 미적분 (2021년),출제율 높은 고난도 문제만 엄선하여 집중적으로 공략하는 내신 1등급을 위한 심화 문제 공략서다. 고난도 기출VS.변형 문제 1:1 구성으로 고난도 기출을 확실히 이해할 뿐만 아니라 유사 고난도 유형 문제의 출제에 대비할 수 있다.
올바른 책 뉴수능 스타트 변형문제 영어 (2021년),"EBS 뉴수능 스타트 모든 지문을 변형하였다. 중간고사 및 기말고사 100% 내신 대비를 위한 학습서로, 서술형 대비를 위한 핵심 구문연습(영작·배열·요약)을 수록하였다."
7일 끝 중간고사 기말고사 고등 국어 (하) (박영목) (2021년),"7일 안에 중간고사/기말고사 준비를 끝낸다는 콘셉트를 바탕으로 하여 구성된 고등 국어(박영목) 교과서의 내신 시험 대비 문제집이다. 단기간에 효과적으로 시험 대비를 할 수 있게 단원 학습 내용 중 꼭 필요한 내용만 깔끔하게 요약 정리하였으며, 실제 학교 시험에서 확인할 수 있는 빈출 유형과 서술 유형의 문제를 다양하게 수록하였다. 또한 누구나 100점 테스트, 중간고사/기말고사 기본 테스트를 풀어 보면서 실전에 대비하여 꼼꼼하게 실력을 점검할 수 있게 하였다."
버블티 고2 문학 신사고(이숭원) 내신 + 수능대비 2권 연계 작품편 (2021년),"버블티 고2문학은 학교 시험 문제를 분석한 내신대비 교재이다. 전국 고등학교의 내신 기출문제를 작품별로 분류하고, 해당 작품별 최다 출제 문제들을 종합하고 분석하여 핵심 적중 문제들을 선별, 1권 교과서 작품편, 2권 연계 작품편으로 각각 출판하였다.

1권 교과서 작품편(987문항)에서는 교과서 단원별 순서에 따라 작품별 최다 문제들을 수록하였고, 특히 학습활동에서 간단히 언급된 작품들까지 빠짐없이 수록하여 100% 내신 대비를 할 수 있도록 구성하였다.

2권 연계 작품편(935문항)에서는 교과서 작품과 작가/주제/소재/갈래/상황별 연계 기준에 따른 교과서 외 연계 작품을 선정하여 해당 작품별 작품 분석 및 문제를 수록하였다. 2권은 학교 시험에서 교과서 외 작품이 출제되는 부분에 대한 시험대비를 할 수 있도록 하였고, 장기적으로 수능 대비를 할 수 있도록 하였다."
올바른 책 2022학년도 뉴수능 스타트 영어 분석노트 (2021년),"EBS 뉴수능 스타트 영어 모든 지문을 완벽 분석하였다. 모든 지문 소재 + 요약문 제시 + 표현 정리로 구성되었으며, 각 지문별 서술형 대비 주요 구문을 제시하였다. 중간고시 및 기말고사 100% 내신 대비가 가능하다."
수능기출 2019 트윈벨 1등급 공략 사회문화 (2018년),"2006학년도~2018학년도 평가원.교육청 문항 중 표 분석 문항을 최근 출제 경향에 맞춰 단원별로 수록하였다. 더불어 2018학년도 모의고사 6월, 9월, 수능 문제를 출제 구성 양식 그대로 수록하여 실전 연습을 할 수 있도록 하였다. 사회문화는 1등급 결정 여부가 표 분석 문항으로 결정되는 만큼 이 교재를 통해 표 분석력을 키워갈 수 있도록 구성하였다."
2022 기출의 파급효과 : 확률과 통계 (2021년),"확률과 통계 기출을 푸는 데 정말 필요한 태도와 도구만을 모두 정리했다. 또한, 기출에 대한 태도와 도구들을 바로 활용할 수 있도록 준킬러 이상급의 기출들을 칼럼 속 예시로 들었다. 21학년도 수능 경향과 해당 기출까지 반영되어 있다. 핵심적인 평가원, 교육청, 그리고 사관학교 문제를 필요한 만큼만 선별했으며, 칼럼 속 예시 해설과 유제 해설은 문제를 푸는 데에 있어 필요한 생각의 흐름을 매우 자세하게 담았다."
Let's Voca 렛츠 보카 6,"교육부 권장 필수 어휘, 초등·중등 영어교과서 중요 빈출 어휘를 선별하였다. 청소년 학습자가 주로 접하는 영어 텍스트에서 가장 자주 나오는 의미와 품사를 담았고, 단어의 뜻이 보다 정확하게 해설된 영영사전 정의에 우선, 되도록 적확한 우리말로 표현하였다. 학습자에게 친숙하거나 흥미로운 내용을 담되, 문장 형식은 단어의 성격에 따라 문어체(글의 언어), 혹은 구어체(말의 언어)를 채택하였다."
국풀 (국어풀이과정) 문학 (2021년),"국어풀이과정을 알면, 수능이 쉬워진다!
수능 실전 감각을 높이고 싶은 고등학생을 위한 매우 특별한 학습서&기출문제집

대치.목동.중계.송파.분당 등 전국 50여개 지점을 운영 중인,
국풀국어전문학원에서만 사용되던 성적향상 비법서, 국풀교재가 드디어 출간되다.

단순 문제풀이나 해설지 중심의 기존의 천편일률적인 국어문제집이 아닌,
‘국풀(국어풀이과정)’이라는 분석과정을 통해 스스로 실력을 향상시키도록 구성된 학습서.

‘국풀’을 풀면서 자연스럽게 지문을 반복적으로 읽게 되고 문제를 정확히 분석하게 된다.
‘국풀’과 씨름하면서 자신의 국어실력이 향상되는 것을 스스로 느끼게 될 것이다."
