title,summary
종이인형 데일리룩 컬러링북,"엄마의 어린 시절과 만나는 종이인형 데일리룩 컬러링북. 매일 예쁜 옷으로 갈아입혀서 마트에 장을 보러 가거나 때로는 바다나 산에서 캠핑을 즐기고, 친구를 초대해 생일 파티도 해 보자. 이미 채색된 옷과 소품은 가위로 오려서, 색이 채워지지 않은 것들은 직접 색칠해서 인형 놀이를 할 수 있을 것이다."
발도르프 인형 DIY,"2003년 출판 후 단종된 '발도르프핸드메이드 인형만들기'의 개정판. 그렇다 보니까, 지금까지의 노하우가 더 세심하게 책 속에 녹아 들어있다. 내용 중 인형만들기의 큰 틀은 변함이 없다. 그것은 발도르프 인형이 유행과 상관없으며, 변치 않는 메시지를 주고 있다는 반증도 될 것이다."
"암이래요, 이제 어떻게 해야 하나요?","직접 암을 경험하면서 얻고 깨달은 암에 대한 정보는 물론, 암 투병 과정에서 실제로 겪게 되는 문제에는 어떤 것이 있는지, 그에 대해 어떻게 대응해야 하는지를 친절히 알려 준다. 암 환자의 가족들이 알아야 할 정보뿐만 아니라, 그들의 마음을 함께 나누고 그들의 건강을 함께 염려하는 저자의 애틋한 마음을 담았다.

암 판정을 받으면 어떤 병원을 선택해야 하는지부터, 환자에게 필요한 진짜 명의는 누구인지, 항암 치료의 선택 기준, 항암 부작용을 어떻게 이겨 내야 하는지, 식사 습관을 어떻게 만들어야 하는지, 건강 보조 식품을 먹어야 하는지, 암 환자의 겨울나기는 어떠해야 하는지, 전이를 막는 방법은 무엇인지, 면역력을 높이는 습관에는 무엇이 있는지, 자연 치유력을 돕는 대체 요법에는 무엇이 있는지, 항암 치료와 치아의 연관관계는 있는지, 효율적인 디톡스 방법은 무엇인지 등은 암 치료를 받기 전에 암 환자들이 알아 두어야 할 항목들이다.

이외에도 저자는 암 환자와 그 가족들이 알아 두면 좋은 암 관련 정보들을 팁으로 마련하여 이 책을 더욱 쉽게 활용할 수 있도록 배려했다. 이런 정보들로는 항암제와 표적 치료제의 차이, 임상 시험의 4단계, 유방암에 쓰이는 항암제의 종류와 특성, 건강 보조 식품과 건강 기능 식품의 차이점, 암 진행에 따른 병기에 대한 정보, 유산균의 의미, 항암제와 백혈구의 관계 등이 있다."
침뜸술,"'침뜸'의 치료 작용과 활용법, 시술상의 주의사항과 위생에 대해 공부하고 자침부위의 해부학적 위치를 파악하며 침뜸의 술법을 익힐 수 있도록 구성했다."
의사가 권하는 요료법,"국내 내과전문의가 실제 경험을 통해 검증한 완벽한 요료법 가이드의 개정판. 요료법은 인체가 갖고 있는 자연치유력을 회복시키는 경이로운 치료법이며, 비용이 전혀 들지 않는 기적의 선물이라고 한다.

일상생활에서 민간요법으로 사용되어져 온 요료법이 여러 가지 연구와 문헌들을 통해 새롭게 재조명되고 있으며 전 세계에서 열리는 학회 등이 이를 증명하고 있다. 인간이 극한 위험에 처했을 때 자신의 요를 마시면서 위험을 참고, 극복하며, 또한 생명도 유지한 놀라운 여러 가지 사실들을 재미있게 서술되어 있다."
여성 건강 실천법,"일본통합의료 권위자인 고이케 히로토와 여성건강연구회가 쓴 책으로, 생리통을 다스리면 각종 여성질환도 완화된다는 점에 착안한 생리주기 28일 1일1실천법을 제시한다.

‘생리주기 28일 건강 실천법’과, ‘매일매일 365일 건강 실천법’으로 구성되어 있다. ‘생리주기 28일 건강 실천법’을 실천하면 생리통만 완화되는 게 아니라, 병원에 갈 정도는 아니지만, 미병(未病) 상태의 몸도 가뿐해진다.

28일 후 생리통이 완화된 뒤에는 제시된 ‘매일매일 365일 건강 실천법’을 참고하도록 했다. 각 실천법마다 활용할 수 있는 ‘지금 누르면 효과 보는 혈자리’가 표시되어 있어, 자세한 위치와 효능을 확인할 수 있다."
[세트] 스트레칭이면 충분하다 + 소피아의 필라테스 홈트 - 전2권,"온 몸의 근육을 자극하는 스트레칭을 소개한다. 이 책의 저자는 아침과 저녁의 몸 상태에 따라 다른 동작을 하라고 권한다. 아침에는 자는 동안 경직된 근육을 풀어주고 몸의 부기를 제거하는 스트레칭이 좋다. 저녁에는 하루 종일 쌓인 스트레스를 해소하고 숙면을 하기 위한 스트레칭이 좋다.

너무 바빠 시간이 없다면 아침 5분이라도, 여유가 좀 있는 저녁에는 10분만 스트레칭해도 괜찮다. 아침과 저녁, 그리고 시간에 따른 동작을 엄선해 프로그램을 구성한 저자의 안내에 따르면 된다. 간단해 보이지만 이 책에서 소개하는 스트레칭을 꾸준히 반복하고 실천하면 아침 5분, 저녁 10분이라도 놀라운 효과를 볼 수 있을 것이다."
시한부 3개월은 거짓말,"20여 년 동안 일본 게이오대학병원 방사선과에서 암 환자를 진료하고 있는 이 책의 저자는 우리가 일반적으로 알고 있는 암과 치료법에 관한 상식에 대해 의문을 제기하며 시한부 진단의 허구성을 낱낱이 밝히고 있다.

특히 암의 90%는 위암, 폐암, 자궁암 등 덩어리를 만드는 ‘고형암’으로 암의 병소를 제거하는 절제수술은 수명 연장 효과가 확실하지 않고, 오히려 심각한 후유증으로 수명이 단축되는 너무나 위험한 수술이기 때문에 가능하면 피하는 것이 좋다고 한다. 항암제 치료 역시 이를 통해 암이 낫는 경우가 드물고, 수명 연장 효과조차 실증되지 않았을 뿐 아니라 각종 부작용으로 환자의 삶의 질을 크게 떨어뜨리기 때문에 피하는 것이 좋다고 말한다.

이외에도 암의 조기검진, 자궁경부암 백신, CT검진을 통한 의료피폭, 면역요법 등의 문제점 등 기존에 우리가 알고 있던 암과 암치료법에 대한 상식에 반하는 사실을 각종 데이터와 임상자료를 통해 주장하는 저자는 암도 역시 ‘자연의 섭리’인 노화현상의 일부로 받아들여 가능하면 사이좋게 공생하는 방법을 찾아 삶의 질을 높이는 인생을 살아야 한다고 조언한다."
명의 : 심장에 남는 사람,"EBS 메디컬 다큐멘터리 <명의>를 책으로 엮었다. 질병에 대한 이해는 물론, 하늘이 무너지는 절망을 차갑고 냉정하게만 대하는 것 같은 야속한 존재, '의사'라는 직업에 대해 다시 한번 생각해보게 하는 책이다. 또한 의사는 단지 '꿈의 직업'이 아니라 '하늘이 내려준 직업'이라는 사실을, 그리고 명의는 인간의 한계와 싸우고 싸우다 '신의 손'을 빌려 인간의 생명을 구한다는 사실을 일깨운다.

해당 질병에 대한 이해와 함께 커다란 하얀 건물, 삭막한 불 꺼진 병실 뒤켠의 이야기다. 환자만이 병마와 싸우고 있는 것이 아니라는 것. 우리를 위해 '신의 손'을 빌리고자 오매불망 고민하고 정진하는 모습을 보여준다. 언제든지 달려갈 수 있도록 365일 병원 근처에서 맴돌며 생활하고, 가족 외식을 병원 식당에서 한다.

의학계의 최신 정보는 모두 섭렵해도, '양문 냉장고'의 존재에 놀라거나 자판기 커피를 뽑는 방법조차 서투른 ‘의사’ 선생님들. 그들은 세계가 깜짝 놀란 수술기법을 창안하기도 했고, 아예 수술 기구들을 만들기도 했다. 불이 꺼질 줄 모르는 수술장, 새벽에 들이닥친 환자를 살리려 밤을 꼬박 지새우는 의사들. 이 책에서 하늘이 내려준 직업을 선택한 그들의 인생과 노력의 드라마를 만난다."
"포커, 이기는 기술 3","이론과 실전을 함께 안내하는 포커 가이드 북. 지은이는 포커게임에 왕도란 열심히 공부하는 것, 이 한 가지라고 말한다. 그는 수많은 포커 마니아들이 포커게임을 하며 기분에 따라 순간순간 판단하고 결정해버리는 선택들이 사실은 과학적인 근거와 이론을 바탕으로 진행된다고 말하고 있다.

그렇기 때문에 실력을 갖춘 플레이어들은 남들보다 조금이라도 더 정확한 판단을 내릴 가능성이 높아지고 그러다보면 좀 더 높은 승률을 올릴 수 있게 되는 것이다. 자신의 본분을 잊지 않고 포커 그 자체를 즐긴다면 포커는 그 어떤 게임 못지않게 과학적이고 신사적인 게임이라는 것이 지은이의 철학이다.

20여 년의 실전 경험과 부단한 연구를 통해 터득한 포커판의 봉에서 벗어나는 방법과 피해를 최소화하는 방법을 이 책을 통해 친절하게 설명한다. 그 첫 번째가 이론을 익혀 자신의 것으로 소화하는 일이다. 두 번째는 이론을 바탕으로 실전을 분석하는 실전 에피소드이다. 각 상황에 따른 분석과 판단, 상대의 의중을 간파하는 고도의 심리전 등, 승리를 얻기 위한 기술과 승부가 결정되는 과정을 보여준다."
네모네모 로직 Vol.17,게임을 즐기면서 집중력을 높이고 학습 효과를 볼 수 있는 로직게임 17번째 시리즈. 7단계 난이도별 122개의 퍼즐 문제를 수록했다. 정신을 집중해서 네모 칸들을 하나씩 채워가면 어느새 하나의 그림이 완성된다. 이번 VOL. 17에서는 크리스마를 테마로 하는 특별편을 구성했다. 다 풀고 난 로직 문제는 십자수 도안으로도 활용할 수 있다.
내 아이가 똑똑하고 건강해지는 임신 요가 30분,"세계적인 임신 요가 전문가 로잘린 위도슨이 건강하고 총명한 아이와 사랑스런 엄마를 위한 요가 프로그램을 제안한다. 그녀 자신의 임신 경험과 다른 임산부들을 가르치면서 체득한 30여 년 간의 노하우를 담은 이 책은 태아의 성장과 발육을 세심하게 배려하여 개발되었다. 동작 하나하나마다 엄마의 요가 리듬과 아기의 태동을 조화롭게 일치시켜 매일 15~30분의 요가로 건강하고 똑똑한 아이를 낳게 해준다.

몸과 마음을 조화롭게 다스려주는 요가는 임산부와 태아가 함께 하는 최적의 생활 운동이자 태교 운동이다. 임신 초기, 중기, 후기에 따른 신체적, 정신적 변화에 맞춘 임신 요가 프로그램은 요가를 해본 적이 없는 임산부라도 쉽고 즐겁게 따라할 수 있다. 단계별 프로그램은 15분, 20분, 30분으로 체계적으로 구성되어 임산부가 자기 몸의 컨디션에 따라 조절할 수 있다."
시바리나의 발레일기,"우연히 발레를 배우게 된 시바가 발레의 매력에 푹 빠져 진정한 취미 발레인으로 거듭나는 과정을 그린 인스타툰 '시바리나의 발레일기'. 장비병, 발태기, 부상 위험 등 취미 발레인이라면 공감할 수밖에 없는 다양한 애환을 재치 있게 표현하여 많은 사랑을 받았던 시바리나가 드디어 책으로 출간되었다. 기존 인스타툰에서 더 업그레이드된 귀여운 그림체와 함께 그동안 꽁꽁 숨겨두었던 미공개 에피소드 등을 수록하여 더욱 소장 가치 있는 취미 발레 에세이북으로 탄생했다."
줄리줄스의 열두 띠 손뜨개 인형,"그녀만의 독창적인 감각을 인정받아 영국의 매거진 <심플리 니팅‘Simply knitting’>에 그녀의 작품이 실렸고 TV에도 소개되었다. 뜨개질로 새롭고 다양한 디자인의 작품을 만드는 줄리줄스. 그녀는 이 책을 통해 창의력도 키우고 성취감도 얻을 수 있는 손뜨개의 세계로 사람들을 초대한다.

자신만의 독특한 감각으로 다양한 작품을 만들어온 줄리줄스는 이 책에 열두 띠 동물 인형 만드는 법을 담았다. 기본 재료와 뜨개법, 십이간지의 첫 번째 동물인 쥐에서 돼지까지, 우리나라 사람들에게 익숙한 열두 띠 동물을 만드는 데 필요한 뜨개법을 알려준다. 비슷한 모양의 인형에 각각 다른 색의 실을 사용하고, 귀와 뿔 등의 디테일로 개성을 살렸다.

또한, 열두 띠 동물 인형, 미니 동물 인형에 그것과 잘 어울리는 소품까지 더하면 사랑스러운 동물 인형 세트가 완성된다. 깔끔한 표로 정리된 도안과 이해를 돕는 손뜨개 과정 사진을 참고하면 사랑하는 우리 아이와 주변의 소중한 사람들에게 선물하고 싶은 손뜨개 인형을 만들 수 있다."
