title,summary
슈퍼 패미컴 퍼펙트 카탈로그,"슈퍼 패미컴의 모든 것을 담은 퍼펙트 가이드. 슈퍼 패미컴의 다양한 하드웨어와 주변기기, 무려 1,447종에 달하는 소프트웨어는 물론, 당시 닌텐도가 슈퍼 패미컴으로 인해 어떤 전략으로 게임시장을 공략하려 했는지에 대한 흥미로운 에피소드를 담고 있다. 본문 뒷부분에는 도서에 소개된 소프트를 가나다순으로 원제목과 함께 정리하여 정보를 쉽게 찾아볼 수 있게 하였고, 월간 GAMER'Z 수석기자인 조기현 역자가 원작자의 동의를 얻어 최초로 한국의 슈퍼 패미컴 이야기를 집필하여 수록하였다."
우리들의 예쁜 손글씨 : 일기체 (스프링북),"손글씨 따라쓰기 교본 시리즈 1권. 매일매일의 일상에서 무엇인가를 기록할 때, 내 마음을 잘 전달하기 위한 예쁜 손글씨로 ‘일기체’를 추천한다. 하루하루 소중하게, 다코체와 꿈을 향해 지향하라, 지향드림체로 구성되어 있다."
나이트 뷰 인 스크래치 북 : 야경이 아름다운 세계의 도시 12,"일상의 스트레스를 잊게 해주는 힐링 아트 북. 펜 터치만으로 멋진 작품이 되는 스크래치 북이다. 필요한 도구는 단지 펜 하나. 손끝이 지나간 자리마다 펼쳐지는 마법처럼 아름다운 풍경이 당신의 '스크래치' 난 마음을 치유해 준다. 펜 끝에 정신을 집중하는 동안 복잡한 생각도, 내일의 고민도, 우울했던 기분도 어느덧 멀리 날아가 버릴 것이다.

스크래치 북은 끝이 뾰족한 펜으로 그저 선을 따라 긁어내기만 하면 된다. 검은 밤하늘과 화려한 불빛을 상징하는 컬러의 대비는 개인의 실력차를 떠나 놀라울 만큼 높은 완성도를 보여줄 것이다. 검은 장막을 걷어내면 조금씩 드러나는 마법 같은 풍경. 스크래치 북을 통해 막막한 현실 속에 숨겨진 새로운 세상을 만나는 듯한 놀라움과 즐거움을 경험할 수 있다."
스티커 아트북 : 랜드마크 엽서북,"베스트셀러 『스티커 아트북-랜드마크』를 재구성한 『스티커 아트북-랜드마크 엽서북』. 엽서 사이즈에 맞게 구성한 버전으로, 아기자기하고 섬세한 작품을 즐길 수 있어 기존의 스티커 아트북과는 또 다른 매력을 느낄 수 있다. 또한 가방에 쏙 들어가는 미니 사이즈로 휴대성과 편리함을 더했다.

랜드마크 엽서북의 테마는 세계에서 가장 유명하고 아름다운 명소이다. 신문이나 방송, 잡지 등을 통해 자주 접해 익숙한 고대 유적부터 한 나라를 대표하는 건축물까지 랜드마크 10곳을 추려 폴리곤 아트(이미지를 단순한 도형으로 표현하는 예술 기법)로 표현했다.

책은 크게 작품 면과 스티커 면으로 구성되어 있다. 작품 면에는 숫자가 기입된 바탕지가 있고, 스티커 면에는 각기 다른 모양의 스티커가 번호별로 나열되었다. 마음에 드는 작품을 고른 다음, 해당 작품 바탕지의 숫자에 맞추어 스티커를 하나씩 떼어 붙이면 된다."
손글씨 교정 노트 바르다,"한 달만 꾸준히 연습해 보자. 삐뚤빼뚤하던 글씨가 또박또박 예쁘게 변신하는 모습을 직접 눈으로 확인할 수 있다. 악필 원인을 분석하여 3가지 종류의 교정 노트를 구성하였고, 이곳에 정자체, 생활서체, 캘리서체를 단계별로 쓰며 효과적으로 악필을 교정할 수 있다.

또한, 큰 글씨부터 생활 속 작은 글씨까지 연습하여 변화된 글씨를 실생활에 바로 적용해 보자. 그리고, 시·동화·소설 속 좋은 글귀를 쓰며 지루하지 않게 바른 손글씨를 연습하고, 전화 메모, 공공기관 문서, 편지 봉투 등의 양식을 따라 쓰며 생활 속에서 갑자기 마주치는 손글씨를 미리 연습해 볼 수 있다. 누구에게나 내 글씨를 자랑하고픈 글자감(글씨 자신감)! 이제 마음껏 나의 손글씨를 뽐내 보자."
골프도 독학이 된다,"국내 스크린골프의 연간 이용인구 2000만 명 시대. 가히 폭발적이라고 할 만큼 대중적 인기를 구가하고 있지만 골프를 제대로 알고 즐기는 골프문화의 이해와 정착은 아직도 요원하다.

골프 초보나 골프가 짐이 되어버린 사람들을 위한 것으로, 2010년 <골프 천재가 된 홍대리>를 출간해 약 5만 부 판매라는 초유의 성과를 이루어낸 저자 김헌이 20년간 골프를 하면서 2000명에게 골프를 가르친 레슨 리포트이자 현장에서 터득한 수많은 임상실험의 결과물이다. 그것은 바로 골프도 독학이 된다는 ‘마음골프 독학시스템’으로, 완전 초보가 ‘어떻게 골프에 접근하는 것이 좋을까’에 맞춰 꼼꼼하고 세밀하게 설계된 ‘7주 완성 골프 입문서’이자 골프를 어느 정도 한 사람이나 골프의 길을 잃어버린 사람, 그리고 골프가 짐이 되어버린 사람들을 위한 ‘7주 완성 골프 리모델링 프로젝트’이다.

이 책에는 전통적인 골프 레슨이나 골프 관련서적에서는 감히 상상할 수도, 거의 찾아볼 수도 없는 김헌만의 독특하고 특별한 골프론이 들어 있다. 저자는 우리가 알고 있는 스포츠나 놀이인 작대기 휘두르기, 공던지기, 줄넘기나 훌라후프 등을 비유와 은유로 적절하게 활용하면서, 종횡무진 시공간을 넘나드는 능란한 화법으로 골프를 명쾌하게 설명하며 초보자들의 가려운 곳을 제대로 긁어주고 있다."
행복한 종이오리기,"꽃과 나비, 곤충 등 우리에게 친숙한 56개 작품을 실물 도안과 함께 담아 낸 종이오리기 책. 작품 사진과 함께 만드는 방법까지 자세히 소개되어 있어 누구라도 쉽고 재미있게 종이오리기를 즐길 수 있다. 아이들과 함께 만들어도 좋을 귀여운 모양의 오리기 본은 ‘책 속의 책’ 형태로 제작되어 더욱 실용적이다."
선재 스님의 이야기로 버무린 사찰음식,"지난 20여 년 동안 사찰음식을 연구하고 강의해 온 사찰음식의 대가인 선재 스님이 사찰 음식에 깃든 정신, 경전 말씀에 바탕한 음식 철학, 사찰음식을 통해 세상 사람에게 전하고자 하는 메시지를 재미있는 이야기로 버무려 놓은 책이다. 선재 스님은 우리의 몸과 마음을 살리고, 우리의 존재 기반인 자연 환경을 살리기 위해서도 음식에 대해 제대로 알아야 한다고 역설한다.

음식에 대한 교육 부재의 현실이 갖가지 문제를 태동시킨 상황에서 생명 존중사상, 불교의 연기론적 세계관을 주춧돌로 풀어냈다. 한편 신흥사 청소년 수련원에서 문제 청소년 들을 음식으로 변화시킨 체험, 수많은 질병으로 괴로워하는 이들을 음식으로 치유시킨 사례 등이 매우 감동적이다. 선재 스님 역시 집안 내력으로 간경화를 앓다가 사찰음식으로 치유하였고, 덤으로 사는 인생이기에 본인과 같은 환자를 만들지 않기 위해 구도하는 마음, 그야말로 위법망구의 정신으로 사찰음식을 국내외에 전하고 있다.

아울러 사찰 관련 사진도 담아 사찰음식문화의 뿌리를 알게 해 주고, 사찰음식을 생생하게 체험할 수 있도록 중요 레시피를 사진과 함께 편집하였다. 특히 사찰음식의 백미이자 우리 전통음식의 백미인 장과 김치 담그기는 초보자도 따라할 수 있도록 한 컷 한 컷 사진과 함께 자세한 레시피를 담았으며, 스님의 음식 비법을 소개해 주었다. 부록에 담긴 선재 스님께 사찰음식을 배워 병을 치유하고 행복해진 사람들의 인연 이야기를 읽는 재미도 쏠쏠하다."
리락쿠마 종이접기,"뒹굴뒹굴이 하루 일과인 리락쿠마와 그 친구들! 그들의 다양한 모습을 내 손으로 완성해보자. 리락쿠마가 손에서 놓지 않는 쿠션과 좋아하는 간식들(당고, 푸딩, 사탕, 아이스크림, 센베 과자, 핫케이크), 그리고 침낭과 손가락 리락쿠마, 리락쿠마 액자와 동전 지갑 등 아기자기한 소품들이 한가득 소개되고 있으니 리락쿠마 매니아라면 꼭 도전해볼 가치가 있다.

또한, 타래판다와 모노크로부, 손님에게 팔리는 것이 소원인 타다만 코게빵과 다양한 마메고마, 냥냥냥코까지 색다른 캐릭터들이 종이에서 귀여운 팬시로 만들어지길 고대하고 있다. 재미와 즐거움, 멋진 선물과 두뇌 트레이닝까지 1석 4조의 효과를 누리면서 최고의 종이접기 달인으로 거듭나보자."
GARAM 가람 : 초급,"프랑스에서 돌풍을 일으키고 있는 새로운 수학 퍼즐. GARAM(가람)은 사칙연산만 알면 누구나 시작할 수 있는 완전히 새로운 수학 퍼즐로, 프랑스 최고의 권위를 자랑하는 발명 컨테스트인 콩쿠르 레핀에서 금메달을 수상하면서 일약 수학 퍼즐의 대세로 떠올랐다.

규칙은 매우 간단하다. 주어진 사칙연산에 맞춰 빈칸을 채우기만 하면 된다. 너무나 직관적이라 세 살짜리 어린아이라도 규칙을 이해하는 데 아무 문제가 없다. 그러나 막상 문제를 풀려고 하면 생각만큼 만만하지 않다는 것을 알게 된다. 유추를 거치지 않으면 문제를 풀 수 없게 설계가 되어 있기 때문이다."
