title,summary
수학 소녀의 비밀노트 : 미분 따라잡기,"'수학 소녀의 비밀노트' 시리즈의 다섯 번째 편이다. 중학교와 고등학교 수학에서 자주 접하는 식과 그래프의 기본 개념과 원리를 다룬 〈식과 그래프〉, 수학의 기본인 정수를 다룬 〈정수와 놀자〉, 원을 이용해 삼각비를 배우는 〈둥근 삼각함수〉, 오셀로 게임을 이용해 수열의 원리를 익히는 〈수열의 광장〉에 이어서 이번에는 미분을 다룬다.

""미분이 뭐야?""라는 사촌여동생 유리의 느닷없는 질문에 오늘도 '나'는 차근차근 설명을 시작한다. 미분은 '순간의 변화율'을 구하는 것이라는 단순한 정의로 시작해서 미분을 구하기 위해 알아야 할 위치, 시각, 속도의 개념과 위치와 속도의 관계, 속도와 가속도의 관계를 비교하면서 위치 그래프와 속도 그래프를 그리며 미분을 계산하는 방법을 알려준다. 또한 파스칼의 삼각형, 은행 복리 계산을 응용하여 '변화를 포착'한다는 미분의 원리를 폭넓게 배울 수 있다.

학교에서는 고등학생인 미르카, 테트라와 함께 파스칼의 삼각형, 복리 계산과 같은 수업시간이나 실생활에서 자주 접하는 사례를 통해 '변화를 포착'한다는 미분의 원리를 배운다. 기본을 익힌 주인공들은 미분의 개념을 더 확장시켜 수열의 극한부터 지수 함수에 이르는 다양한 문제들을 풀고 증명하는 과정을 통해 미분을 응용하는 방법까지 익힌다. 이처럼 주인공들은 생활 속에서 쉽게 접할 수 있는 상황을 이용하여 그 속에 담긴 미분의 원리와 개념을 찾는 과정을 흥미로운 이야기로 풀어내고 있다."
모든 범죄는 흔적을 남긴다,"프리랜서 과학수사 전문가이자 법의곤충학자가 직접 담당했던 사건들을 중심으로 범죄사건 현장에서 곤충과 유전자 감식을 통해 사건을 해결하는 과정을 소개한다. 1부에서는 각종 살인사건과 사건의 비밀을 풀 열쇠를 지닌 곤충들에 대한 이야기를, 2부에서는 유전자 감식에 대한 이야기를 그린다.

3부는 인종학에 대한 역사와 잘못된 과학이론, 그리고 그런 이론을 주창하며 독재자에게 헌신한 과학자들에 대한 비판을 담았다. 1999년 독일에서 출간한 <범죄생물학>에 새로운 내용을 첨가하고 제3부 낡은 범죄생물학을 덧붙여 새롭게 출간했다."
뜨거운 지구에서 살아남는 유쾌한 생활습관 77,"기발한 생활 속 77가지 실천 방법을 통해, 무겁게만 느껴졌던 환경 문제를 쉽고 재밌게 풀어낸다. 각 장마다 주제별로 팁을 두어 독자들을 위한 참여 방법과 환경 정보를 담았으며, 상당한 수준의 환경 정보와 다른 나라의 실천 방법, 제도에 대해서도 다뤘다. 환경 입문서이자 쉽게 따라할 수 있는 실천 가이드북이다.

점점 일상에서 변덕스러운 날씨에 대한 대화가 늘어나고 뜨거운 지구를 염려하는 목소리가 커지는 만큼, 이제 우리도 이 위기를 해결하려면 함께 해결방안을 모색하고 구체적 행동에 나서야 한다. 우리가 모두 힘을 모은다면 점점 뜨거워지는 지구를 구할 수 있다. 세계 최대의 환경콘서트 라이브 어스의 공식 지정 도서이기도 하다."
잡아먹을 수 없는 것을 잡아먹기,"과학자처럼 생각하기 시리즈 1권. 자연에서, 생활에서 만나는 다양한 현상에 호기심을 갖고 문제를 파악하고, 생각하고, 해결하는 과정을 다룬 책이다. 문제마다 보충자료와 질문이 더해져서 문제를 푸는 단서들을 제공한다. 함께 답을 찾고, 헤매고, 생각하는 과정이 있어서 책을 읽는 내내 마치 과학자가 된 듯 생각하는 재미를 느낄 수 있다.

이 책은 단순히 ‘과학 지식’을 다루지 않고, 그보다 ‘과학에 호기심을 갖고, 생각하는 방법’을 경험하게 하는 데 초점을 맞춘다. 1권은 포식 동물들의 사냥 전략을 다루고 있다. 불가능할 것만 같은 상황에서도 기어코 먹잇감을 사냥하는 포식 동물들의 치열한 사냥 전략에 대한 이야기이다.

각 권마다 질문 형식으로 된 약 30가지 연구 과제가 나온다. 각 꼭지마다 상황 설명, 제기된 문제, 연관된 질문, 자료, 사진, 힌트 등이 짧게 소개되고 난 뒤에 해답이 나온다. 또 부록에서 몇 가지 독특한 문제를 예로 들어 문제를 체계적으로 해결하기 위한 과정을 소개하는 형식으로 구성되어 있다."
디자인 세상,"'59클래식Book' 시리즈. <LA타임스>, <Scientific American>이 극찬한 책. 미국의 ‘테크놀로지 계관시인’이자 <연필>과 <포크는 왜 네 갈퀴를 달게 되었나>, <서가에 꽂힌 책>의 저자 헨리 페트로스키가 이번에는 일상생활에서 마주치는 공간과 사물에 담긴 디자인 공학에 대한 이야기로 다시 우리 곁을 찾아왔다.

그가 이야기하는 디자인은 물건의 겉모양이나 스타일을 결정하는 개념에 그치는 것이 아니다. 무언가를 고안하고 계획하고 설계하고 제작하는 모든 과정, 사람의 손과 머리가 개입되어 무(無)에서 새로움이 창조되는 모든 과정을 그는 디자인의 영역 속으로 아우른다. 그러한 포괄적인 디자인의 개념에는 인간이 만들어낸 모든 사물과 물건이 포함된다.

손에 쥐고 쓸 수 있는 제품이나 도구뿐만 아니라, 계단이나 집, 톨게이트 등의 생활공간의 구조물은 물론이며, 식당과 자리, 메뉴를 결정하는 일련의 식사 과정도 페트로스키는 디자인의 영역에 포함시킨다. 같은 물건과 공간이라고 할지라도 그것을 활용하는 사람에 따라 쓰임새와 분위기가 달라진다. 사람이 그것들의 쓰임을 어떻게 디자인하느냐에 달려 있는 것이다."
건축기계설비,"건축기계설비분야 전반에 걸쳐 내용을 파악하고, 우리 분야의 기술 동향이나 흐름들을 이해할 수 있도록 했다. 책자의 각 부분마다 관련 업체들의 기술 자료나 다양한 제품 사진들을 소개하여 보다 현실감 있게 이해하고 실무적으로도 도움이 되도록 하였다."
아인슈타인이 요리사에게 들려준 이야기,"로버트 L. 월크의 신작!! 「워싱턴 포스트」에 연재한 칼럼 '푸드 101'과 세계 각국의 요리사들이 월크 박사에게 보내온 질문으로부터 이 책은 시작되었다. '요리의 화학'이라는 흥미진진한 주제를 가지고 생활 속의 과학 세계로 독자를 안내한다.

쉽게 찾아볼 수 있도록 9개의 분야로 나누어 부엌에서 일어나는 130여 가지의 현상을 명쾌하게 설명했다. 음식과 요리에 대한 일반적인 오해를 과학으로 바로잡는데, 왜 음식을 요리하면 밤색이 될까? '생설탕'은 날 것이 아닐까? 같은 간단간단한 질문과 답변으로 짜여졌다.

질문을 더 보면, 파스타를 끓일 때 왜 소금을 넣을까? 너무 짠 수프에서 소금을 뺄 수 있을까? 지방과 지방산의 차이는? 왜 유럽 버터는 그렇게 맛이 있을까? 수돗물에는 무엇이 들어 있을까? 왜 쇠고기나 돼지고기는 빨간색일까? 곰국을 끓일 때 뼈는 어떤 역할을 할까? 등 굉장히 일상적이고 변변치 않은 질문이다. 그러나 우리는 늘 이런 것들이 궁금하고, 알고 싶다.

지은이의 아내이자 음식 전문가인 말린 패리시가 개발한 독특하고도 상상력이 풍부한 조리법도 눈에 띈다. 마음껏 위트를 섞어가며 부엌의 미스터리를 친근한 과학으로 풀어간 이 책의 제목은 <아인슈타인이 요리사에게 들려준 이야기>다. (뭐라고? <아인슈타인도 몰랐던 과학 이야기>, <아인슈타인이 이발사에게 들려준 이야기>와 비슷하다고?)"
멘사 추리퍼즐 베스트 - 전4권,"최고의 추리 퍼즐만을 엄선한 ‘추리퍼즐 베스트 4종’ 세트. 이번 세트는 세계 최고의 두뇌집단 멘사가 공인한 <멘사 추리 퍼즐>과 <멘사 추리퍼즐 프리미어>, 그리고 전세계 브레인들이 즐기는 베스트셀러 추리 퍼즐 <추리퍼즐 스페셜>과 <추리퍼즐 파이널>의 4권으로 구성되었다.

이 추리퍼즐 시리즈에는 치밀한 논리력은 물론이고, 발상의 전환이 필요한 기발한 문제들이 가득하다. 요컨대 고정관념에 얽매이지 않는 창의적인 사고방식을 발휘해야만 문제의 정답을 찾을 수 있을 것이다. 상상력과 추리력을 총동원해서 도전해보라. 무한한 생각의 모험, 흥미로운 추리의 세계가 기다리고 있다."
일상에 숨겨진 수학 이야기,"비트코인에는 어떤 수학적 원리가 숨겨져 있을까? 교통사고가 나지 않았는데도 왜 길이 막히는 걸까? 정현과 페더러의 실력차가 10%라면 몇 번 대결해야 한 번 이길 수 있을까? 이 책은 “당신은 실생활에서 언제 수학을 사용하겠는가?”라는 질문에 대한 대답이며, 세상을 바라보는 시각을 새롭게 하는 도구이다.

영하 50도의 남극. 온몸으로 추위에 맞서야 하는 펭귄들이 한데 모여 있는 이유는, 극한의 추위를 견디기 위해서는 따로 있는 것보다 한 곳에 모여있는 것이 더 효율적이라는 사실을 알았기 때문이다. 일반적으로 생각할 때 가장 효율적인 모양은 원이다. 하지만 이들 펭귄들이 모여있는 모양은 원이 아니다. 게다가 이들이 만든 큰 덩어리는 계속해서 움직인다. 그 이유는 무엇일까?

미로를 빠져나갈 수 있는 방법을 수학적으로 생각해 본 적이 있는가? 그렇다면 누군가와 생일이 같을 확률에 대해서는? 비가 올 가능성이 20%라면 우산을 가져가야 할까? 로또로 돈을 벌 수 있을까? 앞 차와는 얼마나 떨어져야 안전할까? 네이버는 스팸 메일 여부를 어떻게 판단할까?

수학은 우리의 일상 곳곳에 숨겨져 있다. 이 책을 통해 그 원리를 이해하고 나면 수학은 더 이상 어려운 학문이 아니라 재미있는 도구가 될 것이다."
수학이 나를 불렀다,"라마누잔은 오일러와 야코비 이래 필적할 만한 상대가 없는 천재로 일컬어지는 인도의 수학자이다. 라마누잔은 영국의 식민지 인도에서 태어나 1887년부터 1920년까지 32년의 짧은 생을 살았다. 상류 계급인 브라만으로 태어났지만, 형편이 너무 어려워 비참한 생활을 했는데, 시험 결과만을 중시하고 창의성을 무시하는 경직된 교육 제도 안에서 그는 많은 고난을 겪어야 했다.

그럼에도 그는 오직 수학만을 연구하고 다른 과목을 소홀히 하여 학교를 졸업할 수 없었다. 하지만 당시 최고의 수학자라 불렸던 하디에게 인정을 받아 20세기 수학의 중심지라 불리는 영국 케임브리지 트리니티 대학에 연구원으로 초청받았다.

트리니티에서 라마누잔이 연구한 것은 일반적으로 생각하는 숫자나 방정식이 아닌 무한히 작거나 무한히 큰 영역에 관한 것이었다. 그는 놀라운 직관력으로 사람들이 상상하기도 힘든 여러 항등식과 정리들을 만들어냈다. 그가 만들어낸 '라마누잔의 정리'는 지금까지도 영향을 끼치며 많은 수학자들에 의해 연구되어 있다.

과학저술가인 로버트 카니겔은 이 전설적인 수학자 라마누잔의 일생을 시간의 흐름에 따라 이야기한다. 카니겔은 짧지만 낭만과 비극이 잘 어우러진 라마누잔의 극적인 인생을 그의 학문적인 성공과 함께 엮어냈다.

그는 창조력으로 가득한 라마누잔의 엉뚱하고 기이한 충동들을 잘 잡아내어 어려운 기호들로 가득한 수학의 세계를 일반인이 이해하기 쉽게 서술해냈다. 또한 라마누잔의 인생에 등장하는 수많은 사람들과 사건들을 통해 라마누잔 개인뿐 아니라 한 시대의 학문과 정치 상황을 폭넓게 이야기하고 있다."
